Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,726073,Waterville (awos),ME,USA,44.533000,-69.683000,-5,101
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
1995,1,1,0,0,0,0,-1.7,-10,49,1001,2.5,200,0.15
1995,1,1,1,0,0,0,-2.8,-6.2,75,1001,0,0,0.15
1995,1,1,2,0,0,0,-3.4,-5,87,1001,0,0,0.15
1995,1,1,3,0,0,0,-3.4,-5,87,1001,0,0,0.15
1995,1,1,4,0,0,0,-3.4,-5,87,1001,0,0,0.15
1995,1,1,5,0,0,0,-3.4,-5,87,1001,0,0,0.15
1995,1,1,6,0,0,0,-3.4,-5,87,1001,0,0,0.15
1995,1,1,7,4,0,4,-3.4,-5,87,1001,0,0,0.15
1995,1,1,8,28,0,28,-2.8,-4.5,87,1001,0,0,0.15
1995,1,1,9,174,288,94,-2.3,-4.5,83,1001,2.5,50,0.15
1995,1,1,10,101,0,101,-2.3,-3.9,87,1001,2.5,30,0.15
1995,1,1,11,78,0,78,-1.7,-3.9,83,1001,3,30,0.15
1995,1,1,12,75,0,75,-1.7,-3.4,87,1001,3.6,20,0.15
1995,1,1,13,61,0,61,-1.7,-2.8,91,1001,4.1,30,0.15
1995,1,1,14,39,0,39,-1.7,-3.4,87,1001,3.6,40,0.15
1995,1,1,15,12,0,12,-1.7,-3.4,87,1001,5.6,360,0.15
1995,1,1,16,0,0,0,-1.7,-3.4,87,1001,4.1,10,0.15
1995,1,1,17,0,0,0,-1.7,-3.4,87,1001,3.6,340,0.15
1995,1,1,18,0,0,0,-2.3,-3.9,87,1001,2.5,360,0.15
1995,1,1,19,0,0,0,-2.3,-3.9,87,1001,2,10,0.15
1995,1,1,20,0,0,0,-2.3,-3.9,87,1001,2,360,0.15
1995,1,1,21,0,0,0,-2.8,-4.5,87,1001,1.5,40,0.15
1995,1,1,22,0,0,0,-2.8,-3.9,91,1001,1.5,30,0.15
1995,1,1,23,0,0,0,-2.8,-4.5,87,1001,1.5,10,0.15
1995,1,2,0,0,0,0,-3.4,-5,87,1001,0,0,0.15
1995,1,2,1,0,0,0,-3.9,-5.6,86,1001,1.5,10,0.15
1995,1,2,2,0,0,0,-3.9,-6.2,82,1001,1.5,50,0.15
1995,1,2,3,0,0,0,-4.5,-6.2,86,1001,0,0,0.15
