Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,727576,Grand Forks International Ap,ND,USA,47.950000,-97.183000,-6,256
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
2003,1,1,0,0,0,0,-10.6,-13.9,74,989,3.1,100,0.61
2003,1,1,1,0,0,0,-10,-12.8,78,989,3.1,90,0.61
2003,1,1,2,0,0,0,-9.4,-12.2,78,990,3.1,100,0.61
2003,1,1,3,0,0,0,-9.4,-12.8,74,990,4.1,80,0.61
2003,1,1,4,0,0,0,-9.4,-12.8,74,990,4.6,90,0.61
2003,1,1,5,0,0,0,-9.4,-13.3,70,990,4.6,90,0.61
2003,1,1,6,0,0,0,-9.4,-12.8,74,990,3.1,100,0.61
2003,1,1,7,0,0,0,-9.4,-12.8,74,991,2.6,120,0.61
2003,1,1,8,1,0,1,-8.9,-12.8,71,992,2.1,100,0.61
2003,1,1,9,35,0,35,-8.3,-12.8,67,992,0,0,0.61
2003,1,1,10,138,151,102,-7.8,-12.2,68,992,2.6,120,0.61
2003,1,1,11,114,0,114,-7.8,-10.6,78,992,2.1,60,0.61
2003,1,1,12,133,12,129,-7.2,-11.1,71,992,3.1,90,0.61
2003,1,1,13,133,30,124,-6.7,-10,75,992,3.6,70,0.61
2003,1,1,14,38,0,38,-6.7,-10,75,993,3.1,100,0.61
2003,1,1,15,116,349,63,-6.1,-10,71,993,2.6,100,0.61
2003,1,1,16,11,145,7,-6.1,-10,71,993,2.6,110,0.61
2003,1,1,17,0,0,0,-6.1,-9.4,75,993,3.1,120,0.61
2003,1,1,18,0,0,0,-6.7,-9.4,79,993,2.6,100,0.61
2003,1,1,19,0,0,0,-6.7,-9.4,79,993,2.1,120,0.61
2003,1,1,20,0,0,0,-7.2,-10,78,993,2.6,130,0.61
2003,1,1,21,0,0,0,-10,-12.8,78,993,0,0,0.61
2003,1,1,22,0,0,0,-7.8,-11.1,75,993,2.6,150,0.61
2003,1,1,23,0,0,0,-7.2,-10,78,993,2.1,160,0.61
2003,1,2,0,0,0,0,-7.2,-9.4,82,993,3.6,170,0.61
2003,1,2,1,0,0,0,-7.8,-10,82,992,3.1,180,0.61
2003,1,2,2,0,0,0,-9.4,-11.7,81,992,2.1,170,0.61
2003,1,2,3,0,0,0,-12.8,-14.4,86,992,2.1,160,0.61
2003,1,2,4,0,0,0,-12.2,-13.9,86,991,3.6,150,0.61
2003,1,2,5,0,0,0,-13.9,-15,90,991,2.1,170,0.61
2003,1,2,6,0,0,0,-13.3,-14.4,90,991,2.1,170,0.61
2003,1,2,7,0,0,0,-13.3,-14.4,90,992,2.6,180,0.61
2003,1,2,8,5,85,3,-14.4,-15.6,90,992,2.6,150,0.61
2003,1,2,9,122,284,81,-11.1,-12.2,91,992,4.1,150,0.61
2003,1,2,10,172,346,89,-8.3,-10,86,992,3.6,160,0.61
2003,1,2,11,210,311,115,-6.1,-8.3,83,992,5.7,180,0.61
2003,1,2,12,169,84,142,-5,-7.8,79,991,6.2,180,0.61
2003,1,2,13,104,0,104,-5,-7.2,83,990,6.7,180,0.61
2003,1,2,14,146,197,97,-5,-7.2,83,990,5.7,190,0.61
2003,1,2,15,121,394,60,-4.4,-6.7,82,990,5.2,180,0.61
2003,1,2,16,12,108,8,-4.4,-6.7,82,990,4.6,180,0.61
2003,1,2,17,0,0,0,-4.4,-6.1,86,990,6.2,180,0.61
2003,1,2,18,0,0,0,-4,-6,84,990,4.1,190,0.61
2003,1,2,19,0,0,0,-4.4,-5.6,90,989,5.7,180,0.61
2003,1,2,20,0,0,0,-3.9,-5.6,86,988,7.7,190,0.61
2003,1,2,21,0,0,0,-3.9,-5,91,987,7.7,190,0.61
2003,1,2,22,0,0,0,-3.3,-4.4,91,986,6.7,180,0.61
2003,1,2,23,0,0,0,-3.3,-4.4,91,985,8.2,180,0.61
2003,1,3,0,0,0,0,-2.8,-3.9,91,985,6.7,190,0.61
2003,1,3,1,0,0,0,-3.3,-4.4,91,984,7.2,170,0.61
2003,1,3,2,0,0,0,-3.3,-4.4,91,984,8.8,180,0.61
2003,1,3,3,0,0,0,-3.3,-4.4,91,982,8.8,180,0.61
2003,1,3,4,0,0,0,-3.3,-4.4,91,981,8.2,170,0.61
2003,1,3,5,0,0,0,-3.3,-4.4,91,980,8.2,180,0.61
2003,1,3,6,0,0,0,-3.3,-4.4,91,979,7.2,170,0.61
2003,1,3,7,0,0,0,-3.3,-4.4,91,979,4.6,170,0.61
2003,1,3,8,5,79,3,-3.3,-5,87,978,9.3,170,0.61
2003,1,3,9,122,263,84,-3.3,-5,87,978,8.8,170,0.61
2003,1,3,10,131,119,102,-3.3,-5,87,978,7.2,170,0.61
2003,1,3,11,121,18,115,-3.3,-5,87,977,7.2,170,0.61
2003,1,3,12,230,277,138,-2.2,-4.4,83,977,7.7,170,0.61
2003,1,3,13,185,184,127,-2.2,-3.9,87,977,6.2,180,0.61
2003,1,3,14,206,476,85,-1.7,-3.9,83,977,6.7,180,0.61
2003,1,3,15,117,526,34,-2.2,-3.9,87,977,6.7,180,0.61
2003,1,3,16,14,177,8,-2.8,-4.4,87,977,5.2,180,0.61
2003,1,3,17,0,0,0,-3.9,-5.6,86,977,4.1,200,0.61
2003,1,3,18,0,0,0,-5,-6.7,86,977,4.6,180,0.61
2003,1,3,19,0,0,0,-6.1,-7.2,91,977,4.1,190,0.61
2003,1,3,20,0,0,0,-6.1,-7.2,91,977,3.1,220,0.61
2003,1,3,21,0,0,0,-5,-6.1,91,976,0,0,0.61
2003,1,3,22,0,0,0,-5,-6.1,91,976,0,0,0.61
2003,1,3,23,0,0,0,-4.4,-5.6,90,976,2.6,220,0.61
2003,1,4,0,0,0,0,-3.9,-5,91,976,2.1,270,0.61
2003,1,4,1,0,0,0,-2.2,-3.3,91,976,2.6,310,0.61
2003,1,4,2,0,0,0,-2.8,-3.9,91,977,2.1,290,0.61
2003,1,4,3,0,0,0,-2.8,-3.9,91,977,1.5,340,0.61
2003,1,4,4,0,0,0,-3.3,-4.4,91,978,3.1,340,0.61
2003,1,4,5,0,0,0,-3.3,-4.4,91,978,5.2,350,0.61
2003,1,4,6,0,0,0,-3.9,-4.4,96,979,6.2,350,0.61
2003,1,4,7,0,0,0,-3.9,-4.4,96,980,5.7,340,0.61
2003,1,4,8,5,79,4,-3.3,-3.9,95,981,7.2,360,0.61
2003,1,4,9,122,263,84,-2.8,-3.9,91,981,4.6,350,0.61
2003,1,4,10,55,0,55,-2.2,-3.9,87,982,6.2,350,0.61
2003,1,4,11,51,0,51,-2.8,-3.9,91,982,7.7,340,0.61
2003,1,4,12,54,0,54,-2.2,-3.9,87,983,6.2,350,0.61
2003,1,4,13,52,0,52,-2.8,-3.9,91,983,7.2,350,0.61
2003,1,4,14,76,0,76,-2.8,-3.9,91,983,6.2,340,0.61
2003,1,4,15,56,22,53,-2.8,-3.9,91,984,5.2,330,0.61
2003,1,4,16,15,96,11,-2.8,-4.4,87,984,4.6,340,0.61
2003,1,4,17,0,0,0,-3.3,-3.9,95,985,5.7,320,0.61
2003,1,4,18,0,0,0,-3.9,-4.4,96,985,5.2,320,0.61
2003,1,4,19,0,0,0,-3.9,-4.4,96,985,4.6,320,0.61
2003,1,4,20,0,0,0,-4.4,-4.4,100,985,4.6,340,0.61
2003,1,4,21,0,0,0,-4.4,-6.1,86,984,4.1,350,0.61
2003,1,4,22,0,0,0,-4,-5,92,985,4.1,350,0.61
2003,1,4,23,0,0,0,-5,-6,92,985,4.1,350,0.61
2003,1,5,0,0,0,0,-5,-6,92,985,5.1,340,0.61
2003,1,5,1,0,0,0,-5,-5.6,95,985,4.6,350,0.61
2003,1,5,2,0,0,0,-5,-5.6,95,986,4.6,360,0.61
2003,1,5,3,0,0,0,-5,-6,92,987,5.7,330,0.61
2003,1,5,4,0,0,0,-5,-5.6,95,987,4.1,350,0.61
2003,1,5,5,0,0,0,-5.6,-6.7,91,988,7.2,10,0.61
2003,1,5,6,0,0,0,-5.6,-6.7,91,989,6.2,360,0.61
2003,1,5,7,0,0,0,-6.1,-6.7,95,989,6.2,10,0.61
2003,1,5,8,5,88,3,-6.7,-7.2,96,990,6.2,30,0.61
2003,1,5,9,122,291,79,-6.7,-7.2,96,991,4.1,330,0.61
2003,1,5,10,145,195,97,-6.1,-7.2,91,992,5.2,350,0.61
2003,1,5,11,153,67,132,-6.1,-7.2,91,993,5.7,10,0.61
2003,1,5,12,151,24,143,-6.7,-7.8,91,994,6.7,350,0.61
2003,1,5,13,110,0,110,-6.1,-7.8,86,995,6.7,360,0.61
2003,1,5,14,174,302,96,-6.7,-7.8,91,996,6.2,360,0.61
