Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,725555,Broken Bow Muni,NE,USA,41.433000,-99.650000,-6,776
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
1994,1,1,0,0,0,0,0.4,-3.8,71,924,5.2,350,0.21
1994,1,1,1,0,0,0,-0.1,-3.6,75,924,5.2,350,0.21
1994,1,1,2,0,0,0,-0.6,-3.4,79,924,5.1,360,0.21
1994,1,1,3,0,0,0,-0.6,-2.7,84,924,5.4,360,0.21
1994,1,1,4,0,0,0,-0.4,-1.7,90,924,5.6,360,0.21
1994,1,1,5,0,0,0,-0.3,-0.8,96,924,5.9,360,0.21
1994,1,1,6,0,0,0,-0.6,-0.6,100,924,6.1,360,0.21
1994,1,1,7,0,0,0,-1.2,-1.7,96,924,6.6,320,0.21
1994,1,1,8,12,0,12,-1.3,-2.4,91,924,5.1,340,0.21
1994,1,1,9,46,0,46,-0.6,-2.8,83,924,3.6,350,0.21
1994,1,1,10,153,69,131,1.1,-2.3,76,924,4.1,280,0.21
1994,1,1,11,177,66,150,3.3,-5.6,49,924,4.6,290,0.21
1994,1,1,12,278,129,223,5.5,-1.7,59,924,3.6,250,0.21
1994,1,1,13,127,68,99,6.1,-1.7,56,924,4.6,230,0.21
1994,1,1,14,140,116,98,7.2,-1.2,54,924,5.1,210,0.21
1994,1,1,15,107,57,92,6.9,-0.4,59,924,4.6,200,0.21
1994,1,1,16,62,114,49,5,0,70,924,4.1,180,0.21
1994,1,1,17,1,2,1,2.7,-1.7,72,924,4.1,170,0.21
1994,1,1,18,0,0,0,1.6,-2.3,74,924,0,0,0.21
1994,1,1,19,0,0,0,1.9,-2,74,924,0.6,360,0.21
1994,1,1,20,0,0,0,1.9,-1.8,75,924,1.1,350,0.21
1994,1,1,21,0,0,0,2,-1.5,76,924,1.7,350,0.21
1994,1,1,22,0,0,0,2.1,-1.4,77,924,2.2,350,0.21
1994,1,1,23,0,0,0,2.4,-1.2,76,924,2.8,340,0.21
1994,1,2,0,0,0,0,2.7,-0.9,76,924,3.3,340,0.21
1994,1,2,1,0,0,0,2.9,-0.7,77,924,3.9,340,0.21
1994,1,2,2,0,0,0,3.5,-0.3,76,924,4.4,330,0.21
1994,1,2,3,0,0,0,3.5,-0.2,77,924,5,330,0.21
