Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,725038,Stewart Field,NY,USA,41.500000,-74.100000,-5,177
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
2004,1,1,0,0,0,0,4,-5,49,992,7.2,260,0.16
2004,1,1,1,0,0,0,4,-5,49,992,5.1,270,0.16
2004,1,1,2,0,0,0,4,-6,45,992,6.2,280,0.16
2004,1,1,3,0,0,0,4,-7,42,992,9.3,280,0.16
2004,1,1,4,0,0,0,2,-7,48,992,4.1,270,0.16
2004,1,1,5,0,0,0,1.4,-6.7,51,992,5.1,270,0.16
2004,1,1,6,0,0,0,1,-6,56,992,6.2,270,0.16
2004,1,1,7,3,104,1,1.2,-6.2,54,992,6.9,270,0.16
2004,1,1,8,135,441,63,2,-6,52,992,7.5,270,0.16
2004,1,1,9,279,673,85,4,-6,45,992,8.2,270,0.16
2004,1,1,10,366,740,86,5,-6,42,992,8.2,270,0.16
2004,1,1,11,424,773,95,5,-6,42,992,8.2,270,0.16
2004,1,1,12,426,783,93,6,-4,47,992,8.2,270,0.16
2004,1,1,13,369,757,82,5,-5,46,992,5.1,270,0.16
2004,1,1,14,260,671,66,6,-5,43,992,5.1,270,0.16
2004,1,1,15,124,484,46,5,-5,46,992,5.1,250,0.16
2004,1,1,16,0,0,0,3,-5,53,992,5.1,250,0.16
2004,1,1,17,0,0,0,3,-4,58,992,5.1,280,0.16
2004,1,1,18,0,0,0,3,-3.8,59,992,2.6,240,0.16
2004,1,1,19,0,0,0,2,-4,62,992,3.6,290,0.16
2004,1,1,20,0,0,0,2,-4,62,992,0,0,0.16
2004,1,1,21,0,0,0,2,-4,62,992,0,0,0.16
2004,1,1,22,0,0,0,-1,-3,85,992,0,0,0.16
2004,1,1,23,0,0,0,-2,-3,92,992,0,0,0.16
2004,1,2,0,0,0,0,-2,-3,92,992,0,0,0.16
2004,1,2,1,0,0,0,-1,-3,85,992,0,0,0.16
2004,1,2,2,0,0,0,0,-3,78,992,0,0,0.16
2004,1,2,3,0,0,0,0,-3,78,992,0,0,0.16
2004,1,2,4,0,0,0,0,-3,78,992,0,0,0.16
2004,1,2,5,0,0,0,0,-3,78,992,0,0,0.16
2004,1,2,6,0,0,0,0,-2,85,992,0,0,0.16
2004,1,2,7,1,0,1,1,-2,79,992,0,0,0.16
2004,1,2,8,54,0,54,2,-1,80,992,0,0,0.16
2004,1,2,9,112,0,112,3,-1,74,992,0,0,0.16
2004,1,2,10,129,0,129,3,-1,74,992,0,0,0.16
2004,1,2,11,147,0,147,3,-1,74,992,0,0,0.16
2004,1,2,12,124,0,124,5,-1,64,992,0,0,0.16
2004,1,2,13,119,0,119,5,0,70,992,0,0,0.16
2004,1,2,14,96,0,96,5,0,70,992,0,0,0.16
2004,1,2,15,71,70,60,6,0,65,992,0,0,0.16
2004,1,2,16,2,0,2,6,0,65,992,0,0,0.16
2004,1,2,17,0,0,0,4,0,75,992,0,0,0.16
2004,1,2,18,0,0,0,2,-1,80,992,0,0,0.16
2004,1,2,19,0,0,0,0,-1,92,992,2.6,260,0.16
2004,1,2,20,0,0,0,1,-1,86,992,0,0,0.16
2004,1,2,21,0,0,0,2,1,93,992,1.5,270,0.16
2004,1,2,22,0,0,0,4,1,81,992,2.6,120,0.16
2004,1,2,23,0,0,0,4,2,87,992,0,0,0.16
2004,1,3,0,0,0,0,3.9,2.5,91,992,0,0,0.16
2004,1,3,1,0,0,0,3.9,2.9,93,992,0,0,0.16
2004,1,3,2,0,0,0,3.9,3.2,95,992,0,0,0.16
2004,1,3,3,0,0,0,4.1,3.6,97,992,0,0,0.16
2004,1,3,4,0,0,0,4,4,100,992,0,0,0.16
2004,1,3,5,0,0,0,5,4,93,992,2.6,120,0.16
2004,1,3,6,0,0,0,5,5,100,992,0,0,0.16
2004,1,3,7,2,47,2,5,5,100,992,3.1,140,0.16
2004,1,3,8,126,203,93,5,5,100,992,3.1,130,0.16
2004,1,3,9,42,0,42,6,6,100,992,2.1,80,0.16
2004,1,3,10,373,514,178,7,6,93,992,2.1,40,0.16
2004,1,3,11,430,791,92,8,7,93,992,0,0,0.16
2004,1,3,12,426,592,173,9,7,87,992,2.6,210,0.16
2004,1,3,13,222,124,174,9,7,87,992,2.6,210,0.16
2004,1,3,14,260,486,118,10,8,87,992,2.1,260,0.16
2004,1,3,15,125,465,48,10,8,87,992,2.6,240,0.16
2004,1,3,16,5,91,3,9,8,93,992,0,0,0.16
2004,1,3,17,0,0,0,9,8,93,992,0,0,0.16
2004,1,3,18,0,0,0,8,8,100,992,0,0,0.16
2004,1,3,19,0,0,0,8,8,100,992,0,0,0.16
2004,1,3,20,0,0,0,7.9,7.8,99,992,0,0,0.16
2004,1,3,21,0,0,0,8,8,100,992,0,0,0.16
2004,1,3,22,0,0,0,9,9,100,992,0,0,0.16
2004,1,3,23,0,0,0,8,8,100,992,0,0,0.16
2004,1,4,0,0,0,0,8,8,100,992,0,0,0.16
2004,1,4,1,0,0,0,10,10,100,992,0,0,0.16
2004,1,4,2,0,0,0,9,9,100,992,0,0,0.16
2004,1,4,3,0,0,0,11,11,100,992,0,0,0.16
2004,1,4,4,0,0,0,10,9.2,95,992,3.1,60,0.16
2004,1,4,5,0,0,0,9,7,87,992,2.1,60,0.16
2004,1,4,6,0,0,0,9,7,87,992,2.6,30,0.16
2004,1,4,7,0,0,0,8,7,93,992,1.5,80,0.16
2004,1,4,8,27,0,27,8,8,100,992,1.5,260,0.16
2004,1,4,9,188,189,134,8,8,100,992,0,0,0.16
2004,1,4,10,264,159,203,9,7,87,992,0,0,0.16
2004,1,4,11,295,151,230,8,6,87,992,2.6,340,0.16
2004,1,4,12,296,155,229,7,6,93,992,0,0,0.16
2004,1,4,13,256,148,199,6,5,93,992,4.1,40,0.16
2004,1,4,14,186,185,132,5,4,93,992,4.1,70,0.16
2004,1,4,15,130,325,75,4.6,3.4,92,992,3.9,60,0.16
2004,1,4,16,5,61,4,4,3,93,992,3.6,50,0.16
2004,1,4,17,0,0,0,4,2,87,992,3.1,50,0.16
2004,1,4,18,0,0,0,3,2,93,992,3.6,80,0.16
2004,1,4,19,0,0,0,3,2,93,992,3.1,70,0.16
2004,1,4,20,0,0,0,2,2,100,992,2.6,70,0.16
2004,1,4,21,0,0,0,2,1,93,992,4.1,70,0.16
2004,1,4,22,0,0,0,2,1,93,992,4.6,40,0.16
2004,1,4,23,0,0,0,2,1,93,992,4.6,40,0.16
2004,1,5,0,0,0,0,1,1,100,992,4.1,60,0.16
2004,1,5,1,0,0,0,1,1,100,992,3.6,40,0.16
2004,1,5,2,0,0,0,1,1,100,992,2.1,10,0.16
2004,1,5,3,0,0,0,1,1,100,992,3.6,140,0.16
2004,1,5,4,0,0,0,0,0,100,992,2.9,100,0.16
2004,1,5,5,0,0,0,1,1,100,992,2.1,60,0.16
2004,1,5,6,0,0,0,0,0,100,992,2.6,70,0.16
2004,1,5,7,2,54,2,0,0,100,992,2.6,70,0.16
2004,1,5,8,135,231,97,1,1,100,992,2.6,70,0.16
2004,1,5,9,105,0,105,1,1,100,992,2.6,70,0.16
2004,1,5,10,103,0,103,1,1,100,992,3.1,70,0.16
2004,1,5,11,430,537,199,1,1,100,992,2.6,60,0.16
2004,1,5,12,71,0,71,11,2,54,992,2.6,60,0.16
2004,1,5,13,63,0,63,11,2,54,992,2.6,10,0.16
2004,1,5,14,202,191,146,1,1,100,992,2.6,80,0.16
2004,1,5,15,131,320,76,1,1,100,992,2.6,80,0.16
2004,1,5,16,7,126,4,1.2,1.1,99,992,1.3,40,0.16
