Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
837800,Sao_Paulo/Congonhas,BRA,Brazil,-23.620000,-46.650000,-3.0,803,SWERA
Year,Month,Day,Hour,Beam,Diffuse,Tdry,Tdew,Pres,Wdir,Wspd,Aod,Pwp,Alb
1978,1,1,0,0,0,22,20.5,922,70,3,0.095,3.8,0.11
1978,1,1,1,0,0,21,20,922,120,2,0.095,3.7,0.11
1978,1,1,2,0,0,21,20,922,0,0,0.095,3.7,0.11
1978,1,1,3,0,0,21,20,922,0,0,0.095,3.7,0.11
1978,1,1,4,0,0,20.5,19.5,922,130,2,0.095,3.6,0.11
1978,1,1,5,6,10,20,19,923,180,3,0.095,3.5,0.11
1978,1,1,6,36,58,20,19,924,180,2,0.095,3.5,0.11
1978,1,1,7,5,177,20,18,924,180,2,0.095,3.2,0.11
1978,1,1,8,131,252,21,18,924,180,3,0.095,3.2,0.11
1978,1,1,9,112,365,21,19,924,180,2,0.095,3.5,0.11
1978,1,1,10,317,439,22,19,924,180,4.1,0.095,3.5,0.11
1978,1,1,11,239,366,21,18,924,170,4.1,0.095,3.2,0.11
1978,1,1,12,360,333,20,19,924,180,4.1,0.095,3.5,0.11
1978,1,1,13,134,312,20,19,924,180,5.1,0.095,3.5,0.11
1978,1,1,14,260,277,20,19,924,180,5.1,0.095,3.5,0.11
1978,1,1,15,278,357,19,18,923,170,6.1,0.095,3.2,0.11
1978,1,1,16,56,178,19,17,923,160,5.1,0.095,3,0.11
1978,1,1,17,24,150,19,17,924,180,5.1,0.095,3,0.11
1978,1,1,18,29,27,19,17,924,170,4.1,0.095,3,0.11
1978,1,1,19,0,0,18,16,925,170,5.1,0.095,2.8,0.11
1978,1,1,20,0,0,18,17,926,170,7.2,0.095,3,0.11
1978,1,1,21,0,0,18,16,926,170,3,0.095,2.8,0.11
1978,1,1,22,0,0,18,16,926,170,5.1,0.095,2.8,0.11
1978,1,1,23,0,0,18,16,926,100,4.1,0.095,2.8,0.11
1978,1,2,0,0,0,18,17,926,130,4.1,0.122,3,0.11
1978,1,2,1,0,0,18,17,925,150,7.7,0.122,3,0.11
1978,1,2,2,0,0,17,16,925,170,5.1,0.122,2.8,0.11
1978,1,2,3,0,0,17,15,925,170,4.6,0.122,2.6,0.11
1978,1,2,4,0,0,17,15.5,925,170,4.8,0.122,2.7,0.11
1978,1,2,5,3,10,17,16,926,150,5.1,0.122,2.8,0.11
1978,1,2,6,38,128,17,15.5,927,150,4.6,0.122,2.7,0.11
1978,1,2,7,186,204,17,15,928,180,4.1,0.122,2.6,0.11
1978,1,2,8,114,210,17,15,928,120,5.1,0.122,2.6,0.11
1978,1,2,9,217,312,17,15,929,180,4.1,0.122,2.6,0.11
1978,1,2,10,311,447,17,15,929,180,5.1,0.122,2.6,0.11
1978,1,2,11,214,264,16.7,15,928,180,4,0.122,2.6,0.11
1978,1,2,12,190,296,16.5,15,928,170,3,0.122,2.6,0.11
1978,1,2,13,143,336,16.2,15,928,170,6.1,0.122,2.6,0.11
1978,1,2,14,201,498,16,15,928,140,9.2,0.122,2.6,0.11
1978,1,2,15,56,209,15.3,14.3,928,140,7.1,0.122,2.5,0.11
1978,1,2,16,125,166,14.7,13.7,928,140,5.1,0.122,2.4,0.11
1978,1,2,17,64,138,14,13,929,170,3,0.122,2.3,0.11
1978,1,2,18,24,26,14.3,13,929,170,2.8,0.122,2.3,0.11
1978,1,2,19,0,0,14.7,13,929,170,2.7,0.122,2.3,0.11
1978,1,2,20,0,0,15,13,929,120,2.5,0.122,2.3,0.11
1978,1,2,21,0,0,15,13,929,120,4.1,0.122,2.3,0.11
1978,1,2,22,0,0,15,14,929,0,0,0.122,2.4,0.11
1978,1,2,23,0,0,15,14,929,0,0,0.122,2.4,0.11
1978,1,3,0,0,0,14,13,929,0,0,0.178,2.3,0.11
1978,1,3,1,0,0,14,13,928,120,6.1,0.178,2.3,0.11
1978,1,3,2,0,0,14,13,928,120,2,0.178,2.3,0.11
1978,1,3,3,0,0,14,13,928,0,0,0.178,2.3,0.11
1978,1,3,4,0,0,14,13,928,0,0,0.178,2.3,0.11
1978,1,3,5,2,10,15,14,929,120,4.1,0.178,2.4,0.11
1978,1,3,6,58,96,15,14,929,120,5.1,0.178,2.4,0.11
1978,1,3,7,116,156,15,13,929,120,4.1,0.178,2.3,0.11
1978,1,3,8,75,387,16,14,929,130,2,0.178,2.4,0.11
1978,1,3,9,188,295,16.5,14.5,929,130,2.5,0.178,2.5,0.11
1978,1,3,10,114,371,17,15,929,170,3,0.178,2.6,0.11
1978,1,3,11,189,402,17,14,929,100,3,0.178,2.4,0.11
1978,1,3,12,158,552,17,16,929,100,3,0.178,2.8,0.11
1978,1,3,13,262,513,17,15,929,100,3,0.178,2.6,0.11
1978,1,3,14,228,394,17,15,928,100,3,0.178,2.6,0.11
1978,1,3,15,100,196,17,15,928,100,3,0.178,2.6,0.11
1978,1,3,16,105,111,16.5,14.5,927,160,5.1,0.178,2.5,0.11
1978,1,3,17,41,112,16,14,927,130,3,0.178,2.4,0.11
1978,1,3,18,5,29,16,14,927,120,5.6,0.178,2.4,0.11
1978,1,3,19,0,0,16,13.7,927,120,5.4,0.178,2.4,0.11
1978,1,3,20,0,0,16,13.3,927,120,5.3,0.178,2.3,0.11
1978,1,3,21,0,0,16,13,928,100,5.1,0.178,2.3,0.11
1978,1,3,22,0,0,16,12,928,110,3,0.178,2.1,0.11
1978,1,3,23,0,0,16,12,927,110,1.5,0.178,2.1,0.11
1978,1,4,0,0,0,16,12,927,0,0,0.066,2.1,0.11
1978,1,4,1,0,0,16,11,925,0,0,0.066,2,0.11
1978,1,4,2,0,0,16,11,925,0,0,0.066,2,0.11
1978,1,4,3,0,0,16,13,925,80,3,0.066,2.3,0.11
1978,1,4,4,0,0,16,13,925,80,4.1,0.066,2.3,0.11
1978,1,4,5,9,8,16,14,926,80,2,0.066,2.4,0.11
1978,1,4,6,79,89,16,14,926,100,1.5,0.066,2.4,0.11
1978,1,4,7,136,239,16.9,14.3,925,100,1.6,0.066,2.5,0.11
1978,1,4,8,59,284,17.7,14.6,925,100,1.6,0.066,2.6,0.11
1978,1,4,9,190,356,18.6,14.9,925,100,1.7,0.066,2.6,0.11
1978,1,4,10,148,475,19.4,15.1,925,100,1.8,0.066,2.6,0.11
1978,1,4,11,329,364,20.3,15.4,924,100,1.9,0.066,2.7,0.11
1978,1,4,12,167,304,21.1,15.7,924,100,1.9,0.066,2.8,0.11
1978,1,4,13,209,389,22,16,924,180,2,0.066,2.8,0.11
1978,1,4,14,202,300,23,17,924,170,4.1,0.066,3,0.11
1978,1,4,15,184,231,23,16,922,170,5.1,0.066,2.8,0.11
1978,1,4,16,179,197,22,16,923,100,6.1,0.066,2.8,0.11
1978,1,4,17,48,44,19,16,923,160,4.1,0.066,2.8,0.11
1978,1,4,18,18,53,22,16,923,100,6.1,0.066,2.8,0.11
1978,1,4,19,0,0,18,16,924,150,2,0.066,2.8,0.11
1978,1,4,20,0,0,18,16,924,0,0,0.066,2.8,0.11
1978,1,4,21,0,0,18,16,925,0,0,0.066,2.8,0.11
1978,1,4,22,0,0,18,16,925,0,0,0.066,2.8,0.11
1978,1,4,23,0,0,17,15,924,0,0,0.066,2.6,0.11
1978,1,5,0,0,0,17.6,15.5,925,110,0.4,0.081,2.7,0.11
1978,1,5,1,0,0,18.2,16,926,0,0.7,0.081,2.8,0.11
1978,1,5,2,0,0,18.7,16.5,926,0,1.1,0.081,2.9,0.11
1978,1,5,3,0,0,19.3,17,925,0,1.4,0.081,3,0.11
1978,1,5,4,0,0,19,17,925,90,2.1,0.081,3,0.11
1978,1,5,5,33,11,19,17,925,50,3.6,0.081,3,0.11
1978,1,5,6,190,78,20,18,927,60,3.1,0.081,3.2,0.11
1978,1,5,7,552,143,21,18,927,90,3.6,0.081,3.2,0.11
1978,1,5,8,331,177,24,18,928,90,2.8,0.081,3.2,0.11
1978,1,5,9,367,367,26,18,928,340,2.1,0.081,3.2,0.11
1978,1,5,10,384,365,25,19,928,340,2.6,0.081,3.5,0.11
1978,1,5,11,696,218,24,20,928,320,3.1,0.081,3.7,0.11
1978,1,5,12,93,420,26,19,928,350,3.1,0.081,3.5,0.11
1978,1,5,13,244,549,26.5,19.5,928,350,3.1,0.081,3.6,0.11
1978,1,5,14,96,421,27,20,928,350,3.1,0.081,3.7,0.11
1978,1,5,15,43,200,26,19,927,330,6.2,0.081,3.5,0.11
1978,1,5,16,1,200,25,20,927,0,0,0.081,3.7,0.11
1978,1,5,17,50,98,25,20,927,310,1,0.081,3.7,0.11
1978,1,5,18,32,24,24,20,927,190,1.5,0.081,3.7,0.11
1978,1,5,19,0,0,24,20,927,180,1.5,0.081,3.7,0.11
1978,1,5,20,0,0,24,20,928,180,0.7,0.081,3.7,0.11
1978,1,5,21,0,0,24,20,928,0,0,0.081,3.7,0.11
1978,1,5,22,0,0,24,20,928,0,0,0.081,3.7,0.11
1978,1,5,23,0,0,23,21,927,70,1,0.081,4,0.11
1978,1,6,0,0,0,23,21,926,0,0,0.074,4,0.11
1978,1,6,1,0,0,23,21,927,70,1,0.074,4,0.11
1978,1,6,2,0,0,23,20,925,10,1,0.074,3.7,0.11
1978,1,6,3,0,0,23,20,925,0,0,0.074,3.7,0.11
1978,1,6,4,0,0,23,20,925,0,0,0.074,3.7,0.11
1978,1,6,5,0,9,22,19,925,0,0,0.074,3.5,0.11
1978,1,6,6,70,38,23,21,926,0,0,0.074,4,0.11
1978,1,6,7,612,85,24,21,927,0,0,0.074,4,0.11
1978,1,6,8,626,160,25,21,927,350,2.1,0.074,4,0.11
1978,1,6,9,586,275,26,20,927,310,2.6,0.074,3.7,0.11
1978,1,6,10,750,257,28,23,928,360,1,0.074,4.6,0.11
1978,1,6,11,217,284,29,20,927,250,1.5,0.074,3.7,0.11
1978,1,6,12,87,256,29,20,927,320,2.6,0.074,3.7,0.11
1978,1,6,13,21,337,26,21,925,150,6.2,0.074,4,0.11
1978,1,6,14,10,189,25,22,925,130,5.1,0.074,4.3,0.11
1978,1,6,15,13,252,24,22,925,170,1,0.074,4.3,0.11
1978,1,6,16,14,121,22,21,925,150,2.6,0.074,4,0.11
1978,1,6,17,0,34,22,20.5,925,130,5.1,0.074,3.8,0.11
1978,1,6,18,22,45,22,20,925,90,1.5,0.074,3.7,0.11
1978,1,6,19,0,0,22,20,925,90,1,0.074,3.7,0.11
1978,1,6,20,0,0,22,20,925,90,0.5,0.074,3.7,0.11
1978,1,6,21,0,0,22,20,925,0,0,0.074,3.7,0.11
1978,1,6,22,0,0,22,20,925,80,1.5,0.074,3.7,0.11
1978,1,6,23,0,0,22,20,925,60,3.1,0.074,3.7,0.11
1978,1,7,0,0,0,27,20,926,70,2.6,0.187,3.7,0.11
1978,1,7,1,0,0,21,20,923,80,2.6,0.187,3.7,0.11
1978,1,7,2,0,0,21,20,923,50,3.1,0.187,3.7,0.11
1978,1,7,3,0,0,21,20,923,0,0,0.187,3.7,0.11
1978,1,7,4,0,0,21,20,923,10,1.5,0.187,3.7,0.11
1978,1,7,5,2,9,21,20,924,40,1,0.187,3.7,0.11
