Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,701625,Anaktuvuk Pass,AK,USA,68.133000,-151.733000,-9,657
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
1997,1,1,0,0,0,0,-15.5,-18.5,75,937,10.1,190,0.65
1997,1,1,1,0,0,0,-16,-19.1,75,937,7.9,210,0.65
1997,1,1,2,0,0,0,-17,-20.2,74,937,8.8,170,0.65
1997,1,1,3,0,0,0,-18.7,-22,73,937,6.1,160,0.65
1997,1,1,4,0,0,0,-19.7,-23.2,71,937,5.4,140,0.65
1997,1,1,5,0,0,0,-20.8,-24.4,70,937,7.3,150,0.65
1997,1,1,6,0,0,0,-21.2,-24.4,73,937,8.7,100,0.65
1997,1,1,7,0,0,0,-22.3,-26.7,65,937,8.1,90,0.65
1997,1,1,8,0,0,0,-23.3,-27.9,63,937,6.3,110,0.65
1997,1,1,9,0,0,0,-25,-29.1,66,937,6.2,70,0.65
1997,1,1,10,0,0,0,-25.4,-29.6,65,937,8.1,90,0.65
1997,1,1,11,0,0,0,-26.5,-30.8,64,937,5.4,90,0.65
1997,1,1,12,0,0,0,-27,-32,60,937,6.7,40,0.65
1997,1,1,13,0,0,0,-27.1,-31.3,65,937,6.5,40,0.65
1997,1,1,14,0,0,0,-27.6,-30.6,73,937,6.3,40,0.65
1997,1,1,15,0,0,0,-28,-28.2,98,937,6.2,40,0.65
1997,1,1,16,0,0,0,-28.1,-28.6,95,937,6,40,0.65
1997,1,1,17,0,0,0,-28.8,-28.8,100,937,5.8,40,0.65
1997,1,1,18,0,0,0,-28.8,-28.8,100,937,5.6,40,0.65
1997,1,1,19,0,0,0,-29.5,-29.5,100,937,5.4,40,0.65
1997,1,1,20,0,0,0,-29.6,-29.6,100,937,5.2,40,0.65
1997,1,1,21,0,0,0,-30,-30,100,937,5.1,40,0.65
1997,1,1,22,0,0,0,-30.2,-30.2,100,937,4.9,40,0.65
1997,1,1,23,0,0,0,-30.7,-30.7,100,937,4.7,40,0.65
1997,1,2,0,0,0,0,-30.3,-30.3,100,937,4.5,40,0.65
1997,1,2,1,0,0,0,-30.6,-30.6,100,937,4.3,40,0.65
1997,1,2,2,0,0,0,-31,-31,100,937,4.1,40,0.65
1997,1,2,3,0,0,0,-31.2,-31.2,100,937,4,40,0.65
1997,1,2,4,0,0,0,-31.6,-31.6,100,937,3.8,40,0.65
1997,1,2,5,0,0,0,-32,-32,100,937,3.6,40,0.65
1997,1,2,6,0,0,0,-32.2,-32.2,100,937,3.9,40,0.65
1997,1,2,7,0,0,0,-32.1,-32.1,100,937,4.1,40,0.65
1997,1,2,8,0,0,0,-32.3,-32.3,100,937,4.4,40,0.65
1997,1,2,9,0,0,0,-32.5,-32.5,100,937,4.6,40,0.65
1997,1,2,10,0,0,0,-32.6,-32.6,100,937,4.9,40,0.65
1997,1,2,11,0,0,0,-33,-33,100,937,5.1,40,0.65
1997,1,2,12,0,0,0,-32.8,-32.8,100,937,5.3,40,0.65
1997,1,2,13,0,0,0,-32.8,-32.8,100,937,5.4,40,0.65
1997,1,2,14,0,0,0,-33,-33,100,937,5.5,40,0.65
1997,1,2,15,0,0,0,-33.3,-33.3,100,937,5.7,50,0.65
1997,1,2,16,0,0,0,-33.2,-33.2,100,937,5.9,50,0.65
1997,1,2,17,0,0,0,-33.7,-33.7,100,937,6,50,0.65
1997,1,2,18,0,0,0,-33.5,-33.5,100,937,6.1,50,0.65
1997,1,2,19,0,0,0,-34.1,-34.1,100,937,6.3,50,0.65
1997,1,2,20,0,0,0,-34,-34,100,937,6.5,50,0.65
1997,1,2,21,0,0,0,-34.1,-34.1,100,937,6.6,50,0.65
1997,1,2,22,0,0,0,-34.1,-34.1,100,937,6.8,60,0.65
1997,1,2,23,0,0,0,-34.4,-34.4,100,937,6.9,60,0.65
1997,1,3,0,0,0,0,-33.9,-33.9,100,937,7.1,60,0.65
1997,1,3,1,0,0,0,-34,-34,100,937,7.2,60,0.65
1997,1,3,2,0,0,0,-34,-34,100,937,6.5,70,0.65
1997,1,3,3,0,0,0,-33.6,-33.6,100,937,4.2,50,0.65
1997,1,3,4,0,0,0,-33.2,-33.2,100,937,5.5,50,0.65
1997,1,3,5,0,0,0,-32.6,-32.6,100,937,6.4,60,0.65
1997,1,3,6,0,0,0,-32.1,-32.1,100,937,6.7,50,0.65
1997,1,3,7,0,0,0,-31.7,-31.7,100,937,6,50,0.65
1997,1,3,8,0,0,0,-31.6,-31.6,100,937,3.2,30,0.65
1997,1,3,9,0,0,0,-31.6,-31.6,100,937,3,30,0.65
1997,1,3,10,0,0,0,-32.4,-32.4,100,937,5.9,50,0.65
1997,1,3,11,0,0,0,-32.5,-32.5,100,937,5.2,40,0.65
1997,1,3,12,0,0,0,-32,-32,100,937,4.5,40,0.65
1997,1,3,13,0,0,0,-32,-32,100,937,5.3,40,0.65
1997,1,3,14,0,0,0,-32.2,-32.2,100,937,5.1,50,0.65
1997,1,3,15,0,0,0,-32.5,-32.5,100,937,3.9,10,0.65
1997,1,3,16,0,0,0,-32.8,-32.8,100,937,4.2,40,0.65
1997,1,3,17,0,0,0,-33.8,-33.8,100,937,4.1,10,0.65
1997,1,3,18,0,0,0,-34,-34,100,937,3.4,10,0.65
1997,1,3,19,0,0,0,-35.1,-35.1,100,937,3.2,30,0.65
1997,1,3,20,0,0,0,-35.6,-35.6,100,937,3,20,0.65
1997,1,3,21,0,0,0,-34.5,-34.5,100,937,3.3,30,0.65
1997,1,3,22,0,0,0,-35.1,-35.1,100,937,2.6,20,0.65
1997,1,3,23,0,0,0,-36.1,-36.1,100,937,1.8,360,0.65
1997,1,4,0,0,0,0,-36.1,-36.1,100,937,2.2,350,0.65
1997,1,4,1,0,0,0,-36.9,-36.9,100,937,2,340,0.65
1997,1,4,2,0,0,0,-37.8,-37.8,100,937,1.2,340,0.65
1997,1,4,3,0,0,0,-38.4,-38.4,100,937,0,0,0.65
1997,1,4,4,0,0,0,-38.6,-38.6,100,937,0.8,10,0.65
1997,1,4,5,0,0,0,-38.7,-38.7,100,937,0.6,360,0.65
1997,1,4,6,0,0,0,-38.9,-38.9,100,937,0.7,340,0.65
1997,1,4,7,0,0,0,-38.8,-38.8,100,937,0.8,330,0.65
1997,1,4,8,0,0,0,-39,-39,100,937,0,0,0.65
1997,1,4,9,0,0,0,-38.3,-38.3,100,937,0,0,0.65
1997,1,4,10,0,0,0,-37.7,-37.7,100,937,0,0,0.65
1997,1,4,11,0,0,0,-37,-37,100,937,0,0,0.65
1997,1,4,12,0,0,0,-35.3,-35.3,100,937,0,0,0.65
1997,1,4,13,0,0,0,-33.7,-33.7,100,937,1.2,80,0.65
1997,1,4,14,0,0,0,-32,-32,100,937,0,0,0.65
1997,1,4,15,0,0,0,-31.3,-31.3,100,937,0.9,120,0.65
1997,1,4,16,0,0,0,-28.7,-28.7,100,937,1.7,140,0.65
1997,1,4,17,0,0,0,-30,-30,100,937,2.6,140,0.65
1997,1,4,18,0,0,0,-28.3,-28.3,100,937,3.4,160,0.65
1997,1,4,19,0,0,0,-26.7,-26.7,100,937,2.8,160,0.65
1997,1,4,20,0,0,0,-26,-26,100,937,4.6,210,0.65
1997,1,4,21,0,0,0,-26,-26,100,937,3.1,210,0.65
1997,1,4,22,0,0,0,-27,-27,100,937,4.6,190,0.65
1997,1,4,23,0,0,0,-30,-30,100,937,7.2,170,0.65
1997,1,5,0,0,0,0,-31,-31,100,937,6.7,190,0.65
1997,1,5,1,0,0,0,-32,-32,100,937,0,0,0.65
1997,1,5,2,0,0,0,-33,-33,100,937,0,0,0.65
1997,1,5,3,0,0,0,-33,-33,100,937,2.6,210,0.65
1997,1,5,4,0,0,0,-33,-33,100,937,8.2,50,0.65
1997,1,5,5,0,0,0,-34,-34,100,937,7.7,70,0.65
1997,1,5,6,0,0,0,-34,-34,100,937,4.6,50,0.65
1997,1,5,7,0,0,0,-33,-33,100,937,8.7,50,0.65
1997,1,5,8,0,0,0,-34,-34,100,937,7.2,60,0.65
1997,1,5,9,0,0,0,-33,-33,100,937,6.2,50,0.65
1997,1,5,10,0,0,0,-31.8,-31.8,100,937,7.7,60,0.65
1997,1,5,11,0,0,0,-31,-31,100,937,4.1,90,0.65
1997,1,5,12,0,0,0,-31,-31,100,937,4.6,50,0.65
1997,1,5,13,0,0,0,-28.9,-28.9,100,937,3.1,330,0.65
1997,1,5,14,0,0,0,-27,-27,100,937,6.2,350,0.65
1997,1,5,15,0,0,0,-31,-31,100,937,3.1,50,0.65
1997,1,5,16,0,0,0,-31,-31,100,937,4.6,10,0.65
1997,1,5,17,0,0,0,-32,-32,100,937,5.7,10,0.65
1997,1,5,18,0,0,0,-31,-31,100,937,4.1,40,0.65
1997,1,5,19,0,0,0,-31,-31,100,937,6.7,70,0.65
1997,1,5,20,0,0,0,-31,-31,100,937,5.1,350,0.65
1997,1,5,21,0,0,0,-30,-30,100,937,6.2,50,0.65
1997,1,5,22,0,0,0,-29,-29,100,937,3.6,80,0.65
1997,1,5,23,0,0,0,-30,-30,100,937,6.7,350,0.65
1997,1,6,0,0,0,0,-29,-29,100,937,8.2,70,0.65
1997,1,6,1,0,0,0,-30,-30,100,937,8.2,60,0.65
1997,1,6,2,0,0,0,-28,-28,100,937,10.8,40,0.65
1997,1,6,3,0,0,0,-29,-29,100,937,5.7,20,0.65
1997,1,6,4,0,0,0,-27,-27,100,937,7.7,60,0.65
1997,1,6,5,0,0,0,-29,-29,100,937,8.2,50,0.65
1997,1,6,6,0,0,0,-28,-28,100,937,9.8,50,0.65
1997,1,6,7,0,0,0,-28,-28,100,937,10.8,50,0.65
1997,1,6,8,0,0,0,-29,-29,100,937,8.7,40,0.65
