Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
535020,Jartai,CHN,China,39.780000,105.750000,8.0,1033,SWERA
Year,Month,Day,Hour,Beam,Diffuse,Tdry,Tdew,Pres,Wdir,Wspd,Aod,Pwp,Alb
1982,1,1,0,0,0,-10,-25.2,903,200,3.3,0.221,0.2,0.22
1982,1,1,1,0,0,-11,-26,903,250,3,0.221,0.2,0.22
1982,1,1,2,0,0,-11.7,-25.3,902,250,3.3,0.221,0.2,0.22
1982,1,1,3,0,0,-12.3,-24.7,902,250,3.7,0.221,0.2,0.22
1982,1,1,4,0,0,-13,-24,902,250,4,0.221,0.2,0.22
1982,1,1,5,0,0,-13.3,-24.6,902,250,4,0.221,0.2,0.22
1982,1,1,6,0,0,-13.6,-25.3,903,250,4,0.221,0.2,0.22
1982,1,1,7,0,0,-13.9,-25.9,903,220,4,0.221,0.2,0.22
1982,1,1,8,16,11,-12.4,-24.6,904,220,4.3,0.221,0.2,0.22
1982,1,1,9,248,63,-11,-23.3,905,220,4.7,0.221,0.2,0.22
1982,1,1,10,458,97,-9.5,-22,906,200,5,0.221,0.2,0.22
1982,1,1,11,566,120,-6.3,-21.3,906,200,5,0.221,0.2,0.22
1982,1,1,12,636,133,-3.1,-20.7,906,200,5,0.221,0.2,0.22
1982,1,1,13,630,133,0.1,-20,906,220,5,0.221,0.2,0.22
1982,1,1,14,545,120,0.6,-20,906,220,4.3,0.221,0.2,0.22
1982,1,1,15,471,98,1.1,-20,905,220,3.7,0.221,0.2,0.22
1982,1,1,16,259,64,1.6,-20,905,220,3,0.221,0.2,0.22
1982,1,1,17,17,12,-1.1,-20,904,220,2,0.221,0.2,0.22
1982,1,1,18,0,0,-3.7,-20,904,220,1,0.221,0.2,0.22
1982,1,1,19,0,0,-6.4,-20,903,0,0,0.221,0.2,0.22
1982,1,1,20,0,0,-7,-20.1,902,0,0.3,0.221,0.2,0.22
1982,1,1,21,0,0,-7.5,-20.2,901,0,0.7,0.221,0.2,0.22
1982,1,1,22,0,0,-8.1,-20.3,900,0,1,0.221,0.2,0.22
1982,1,1,23,0,0,-8.7,-20.4,899,0,1.3,0.221,0.2,0.22
1982,1,2,0,0,0,-9.2,-20.6,897,0,1.7,0.228,0.2,0.22
1982,1,2,1,0,0,-9.8,-20.7,896,0,2,0.228,0.2,0.22
1982,1,2,2,0,0,-10.4,-20.8,895,0,2.3,0.228,0.2,0.22
1982,1,2,3,0,0,-10.9,-20.9,894,0,2.7,0.228,0.2,0.22
1982,1,2,4,0,0,-11.5,-21,893,360,3,0.228,0.2,0.22
1982,1,2,5,0,0,-11.8,-21,893,360,3,0.228,0.2,0.22
1982,1,2,6,0,0,-12,-21,894,360,3,0.228,0.2,0.22
1982,1,2,7,0,0,-12.3,-21,894,70,3,0.228,0.2,0.22
1982,1,2,8,2,12,-11.2,-20.4,896,70,2.7,0.228,0.2,0.22
1982,1,2,9,55,69,-10.2,-19.7,897,70,2.3,0.228,0.2,0.22
1982,1,2,10,160,151,-9.1,-19.1,898,340,2,0.228,0.2,0.22
1982,1,2,11,322,148,-8,-19.4,899,340,2.8,0.228,0.2,0.22
1982,1,2,12,405,200,-6.9,-19.7,900,340,3.7,0.228,0.2,0.22
1982,1,2,13,190,152,-5.8,-20.1,901,340,4.5,0.228,0.2,0.22
1982,1,2,14,235,165,-4.6,-20.4,902,340,5.3,0.228,0.2,0.22
1982,1,2,15,220,129,-3.5,-20.7,902,340,6.2,0.228,0.2,0.22
1982,1,2,16,83,69,-2.4,-21,903,270,7,0.228,0.2,0.22
1982,1,2,17,3,14,-3.4,-20.4,904,270,7,0.228,0.2,0.22
1982,1,2,18,0,0,-4.4,-19.7,905,270,7,0.228,0.2,0.22
1982,1,2,19,0,0,-5.4,-19.1,906,270,7,0.228,0.2,0.22
1982,1,2,20,0,0,-6.2,-19.6,906,270,6.7,0.228,0.2,0.22
1982,1,2,21,0,0,-7.1,-20.1,906,270,6.3,0.228,0.2,0.22
1982,1,2,22,0,0,-7.9,-20.6,906,270,6,0.228,0.2,0.22
1982,1,2,23,0,0,-8.7,-21,906,270,5.7,0.228,0.2,0.22
1982,1,3,0,0,0,-9.6,-21.5,905,270,5.3,0.195,0.2,0.22
1982,1,3,1,0,0,-10.4,-22,905,220,5,0.195,0.2,0.22
1982,1,3,2,0,0,-11,-21.7,905,220,5,0.195,0.2,0.22
1982,1,3,3,0,0,-11.6,-21.3,905,220,5,0.195,0.2,0.22
1982,1,3,4,0,0,-12.2,-21,905,200,5,0.195,0.2,0.22
1982,1,3,5,0,0,-12.4,-21,906,200,4.7,0.195,0.2,0.22
1982,1,3,6,0,0,-12.6,-21,906,200,4.3,0.195,0.2,0.22
1982,1,3,7,0,0,-12.8,-21,906,180,4,0.195,0.2,0.22
1982,1,3,8,21,11,-11.3,-20.7,907,180,5.3,0.195,0.2,0.22
1982,1,3,9,279,60,-9.7,-20.3,908,180,6.7,0.195,0.2,0.22
1982,1,3,10,436,93,-8.2,-20,909,220,8,0.195,0.2,0.22
1982,1,3,11,492,116,-6.2,-20,909,220,8,0.195,0.2,0.22
1982,1,3,12,656,125,-4.1,-20,909,220,8,0.195,0.2,0.22
1982,1,3,13,610,125,-2.1,-20,909,250,8,0.195,0.2,0.22
1982,1,3,14,596,116,-1.5,-20,909,250,7.7,0.195,0.2,0.22
1982,1,3,15,521,93,-1,-20,910,250,7.3,0.195,0.2,0.22
1982,1,3,16,302,62,-0.4,-20,910,320,7,0.195,0.2,0.22
1982,1,3,17,27,13,-2.3,-19.7,910,320,5.3,0.195,0.2,0.22
1982,1,3,18,0,0,-4.3,-19.4,910,320,3.7,0.195,0.2,0.22
1982,1,3,19,0,0,-6.2,-19.1,911,180,2,0.195,0.2,0.22
1982,1,3,20,0,0,-7.3,-20,910,180,2.2,0.195,0.2,0.22
1982,1,3,21,0,0,-8.3,-20.9,910,180,2.3,0.195,0.2,0.22
1982,1,3,22,0,0,-9.4,-21.8,909,180,2.5,0.195,0.2,0.22
1982,1,3,23,0,0,-10.5,-22.6,908,180,2.7,0.195,0.2,0.22
1982,1,4,0,0,0,-11.5,-23.5,908,180,2.8,0.688,0.2,0.22
1982,1,4,1,0,0,-12.6,-24.4,907,200,3,0.688,0.2,0.22
1982,1,4,2,0,0,-13.2,-24.4,907,200,2.7,0.688,0.2,0.22
1982,1,4,3,0,0,-13.7,-24.4,906,200,2.3,0.688,0.2,0.22
1982,1,4,4,0,0,-14.3,-24.4,906,200,2,0.688,0.2,0.22
1982,1,4,5,0,0,-14.7,-24.9,906,200,2.3,0.688,0.2,0.22
1982,1,4,6,0,0,-15.1,-25.3,906,200,2.7,0.688,0.2,0.22
1982,1,4,7,0,0,-15.5,-25.8,907,180,3,0.688,0.2,0.22
1982,1,4,8,0,11,-14.3,-24.5,907,180,2.7,0.688,0.2,0.22
1982,1,4,9,17,78,-13.1,-23.3,908,180,2.3,0.688,0.2,0.22
1982,1,4,10,100,146,-11.9,-22,908,200,2,0.688,0.2,0.22
1982,1,4,11,161,199,-9.6,-20.8,908,200,2,0.688,0.2,0.22
1982,1,4,12,228,227,-7.3,-19.5,908,200,2,0.688,0.2,0.22
1982,1,4,13,227,228,-5,-18.3,908,90,2,0.688,0.3,0.22
1982,1,4,14,156,201,-3.8,-17.5,908,90,8,0.688,0.3,0.22
1982,1,4,15,108,150,-2.7,-16.8,908,90,14,0.688,0.3,0.22
1982,1,4,16,24,83,-1.5,-16,908,200,20,0.688,0.3,0.22
1982,1,4,17,0,14,-4,-16.5,908,200,13.3,0.688,0.3,0.22
1982,1,4,18,0,0,-6.5,-17,907,200,6.7,0.688,0.3,0.22
1982,1,4,19,0,0,-9,-17.5,907,0,0,0.688,0.3,0.22
1982,1,4,20,0,0,-9.9,-18.9,906,0,0.2,0.688,0.3,0.22
1982,1,4,21,0,0,-10.8,-20.3,905,0,0.3,0.688,0.2,0.22
1982,1,4,22,0,0,-11.7,-21.7,904,0,0.5,0.688,0.2,0.22
1982,1,4,23,0,0,-12.6,-23,903,0,0.7,0.688,0.2,0.22
1982,1,5,0,0,0,-13.5,-24.4,902,0,0.8,0.446,0.2,0.22
1982,1,5,1,0,0,-14.4,-25.8,901,160,1,0.446,0.2,0.22
1982,1,5,2,0,0,-14.6,-25.8,900,160,2,0.446,0.2,0.22
1982,1,5,3,0,0,-14.8,-25.8,900,160,3,0.446,0.2,0.22
1982,1,5,4,0,0,-15,-25.8,899,200,4,0.446,0.2,0.22
1982,1,5,5,0,0,-15,-25.8,900,200,4,0.446,0.2,0.22
1982,1,5,6,0,0,-15,-25.8,900,200,4,0.446,0.2,0.22
1982,1,5,7,0,0,-15,-25.8,901,220,4,0.446,0.2,0.22
1982,1,5,8,0,12,-12.7,-24.2,902,220,5.3,0.446,0.2,0.22
1982,1,5,9,62,76,-10.3,-22.6,903,220,6.7,0.446,0.2,0.22
1982,1,5,10,197,130,-8,-21,904,220,8,0.446,0.2,0.22
1982,1,5,11,338,171,-5.3,-20.4,904,220,7.7,0.446,0.2,0.22
1982,1,5,12,387,193,-2.7,-19.7,904,220,7.3,0.446,0.2,0.22
1982,1,5,13,386,193,0,-19.1,904,200,7,0.446,0.2,0.22
1982,1,5,14,325,173,0.8,-20.1,905,200,6,0.446,0.2,0.22
1982,1,5,15,207,134,1.7,-21,906,200,5,0.446,0.2,0.22
1982,1,5,16,86,80,2.5,-22,907,320,4,0.446,0.2,0.22
1982,1,5,17,1,15,0,-20.5,907,320,3.3,0.446,0.2,0.22
1982,1,5,18,0,0,-2.5,-19,908,320,2.7,0.446,0.2,0.22
1982,1,5,19,0,0,-5,-17.5,908,200,2,0.446,0.3,0.22
1982,1,5,20,0,0,-6.1,-18.9,908,200,2.3,0.446,0.3,0.22
1982,1,5,21,0,0,-7.2,-20.3,907,200,2.7,0.446,0.2,0.22
1982,1,5,22,0,0,-8.4,-21.7,907,200,3,0.446,0.2,0.22
1982,1,5,23,0,0,-9.5,-23,906,200,3.3,0.446,0.2,0.22
1982,1,6,0,0,0,-10.6,-24.4,906,200,3.7,0.41,0.2,0.22
1982,1,6,1,0,0,-11.7,-25.8,906,200,4,0.41,0.2,0.22
1982,1,6,2,0,0,-12.1,-25.8,905,200,3.3,0.41,0.2,0.22
1982,1,6,3,0,0,-12.5,-25.8,905,200,2.7,0.41,0.2,0.22
1982,1,6,4,0,0,-12.9,-25.8,905,220,2,0.41,0.2,0.22
1982,1,6,5,0,0,-12.9,-25.3,906,220,2.3,0.41,0.2,0.22
1982,1,6,6,0,0,-12.8,-24.9,907,220,2.7,0.41,0.2,0.22
1982,1,6,7,0,0,-12.8,-24.4,908,200,3,0.41,0.2,0.22
1982,1,6,8,0,11,-11,-23.6,909,200,2.7,0.41,0.2,0.22
1982,1,6,9,17,87,-9.2,-22.8,910,200,2.3,0.41,0.2,0.22
1982,1,6,10,30,176,-7.4,-22,911,200,2,0.41,0.2,0.22
1982,1,6,11,98,161,-4.6,-21.3,911,200,2,0.41,0.2,0.22
1982,1,6,12,384,201,-1.9,-20.7,912,200,2,0.41,0.2,0.22
1982,1,6,13,387,185,0.9,-20,912,200,2,0.41,0.2,0.22
1982,1,6,14,347,170,1.1,-20,911,200,1.3,0.41,0.2,0.22
1982,1,6,15,254,131,1.3,-20,911,200,0.7,0.41,0.2,0.22
1982,1,6,16,96,80,1.5,-20,911,0,0,0.41,0.2,0.22
1982,1,6,17,2,15,-0.8,-20.3,911,0,1,0.41,0.2,0.22
1982,1,6,18,0,0,-3,-20.7,910,0,2,0.41,0.2,0.22
1982,1,6,19,0,0,-5.3,-21,910,360,3,0.41,0.2,0.22
1982,1,6,20,0,0,-6.1,-21.2,909,360,3,0.41,0.2,0.22
1982,1,6,21,0,0,-6.8,-21.3,908,360,3,0.41,0.2,0.22
1982,1,6,22,0,0,-7.6,-21.5,907,360,3,0.41,0.2,0.22
1982,1,6,23,0,0,-8.3,-21.7,906,360,3,0.41,0.2,0.22
1982,1,7,0,0,0,-9.1,-21.8,905,360,3,0.2,0.2,0.22
1982,1,7,1,0,0,-9.8,-22,904,220,3,0.2,0.2,0.22
1982,1,7,2,0,0,-8.9,-21.3,904,220,4.3,0.2,0.2,0.22
1982,1,7,3,0,0,-8.1,-20.7,904,220,5.7,0.2,0.2,0.22
1982,1,7,4,0,0,-7.2,-20,904,220,7,0.2,0.2,0.22
1982,1,7,5,0,0,-7.8,-20.3,905,220,6.3,0.2,0.2,0.22
1982,1,7,6,0,0,-8.4,-20.7,905,220,5.7,0.2,0.2,0.22
1982,1,7,7,0,0,-9,-21,906,200,5,0.2,0.2,0.22
1982,1,7,8,3,11,-7.3,-20.7,907,200,5.3,0.2,0.2,0.22
1982,1,7,9,191,62,-5.5,-20.3,907,200,5.7,0.2,0.2,0.22
