Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,725955,Montague Siskiyou County Ap,CA,USA,41.783000,-122.467000,-8,803
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
2004,1,1,0,0,0,0,1,0,93,910,2.6,40,0.18
2004,1,1,1,0,0,0,1,0,93,909,2.6,20,0.18
2004,1,1,2,0,0,0,4,-1,69,909,14.4,150,0.18
2004,1,1,3,0,0,0,4,-1,69,906,13.4,150,0.18
2004,1,1,4,0,0,0,4,-1,69,903,13.9,150,0.18
2004,1,1,5,0,0,0,3,1,87,902,14.9,150,0.18
2004,1,1,6,0,0,0,3,1,87,901,17,150,0.18
2004,1,1,7,0,0,0,3,1,87,903,13.4,150,0.18
2004,1,1,8,36,19,33,3,1,87,904,5.7,180,0.18
2004,1,1,9,238,475,114,4,0,75,907,11.8,200,0.18
2004,1,1,10,95,0,95,2,-1,80,908,9.8,210,0.18
2004,1,1,11,434,601,186,2,-1,80,909,10.8,220,0.18
2004,1,1,12,312,291,189,4,-1,69,910,7.2,220,0.18
2004,1,1,13,164,68,137,2,0,87,911,5.7,220,0.18
2004,1,1,14,311,576,133,2,0,87,912,3.6,200,0.18
2004,1,1,15,190,571,81,2,0,87,912,2.1,180,0.18
2004,1,1,16,17,222,7,1,0,93,913,1.5,230,0.18
2004,1,1,17,0,0,0,1,-1,86,914,3.1,180,0.18
2004,1,1,18,0,0,0,1,-3,72,916,7.2,210,0.18
2004,1,1,19,0,0,0,-1,-2,92,916,2.6,160,0.18
2004,1,1,20,0,0,0,0,-2,85,917,3.1,170,0.18
2004,1,1,21,0,0,0,-1,-2,92,918,2.1,170,0.18
2004,1,1,22,0,0,0,-2,-3,92,918,2.1,110,0.18
2004,1,1,23,0,0,0,-2,-4,85,918,2.6,120,0.18
2004,1,2,0,0,0,0,-2,-3,92,918,1.5,290,0.18
2004,1,2,1,0,0,0,-2,-4,85,918,0,0,0.18
2004,1,2,2,0,0,0,-2,-3,92,919,0,0,0.18
2004,1,2,3,0,0,0,-1,-3,85,919,0,0,0.18
2004,1,2,4,0,0,0,-1,-3,85,918,2.1,50,0.18
2004,1,2,5,0,0,0,-3,-4,92,918,1.5,310,0.18
2004,1,2,6,0,0,0,-4,-5,92,917,0,0,0.18
2004,1,2,7,0,0,0,-3,-4,92,918,0,0,0.18
2004,1,2,8,30,0,30,-2,-2,100,918,2.1,10,0.18
2004,1,2,9,41,0,41,-1,-2,92,919,1.5,340,0.18
2004,1,2,10,122,0,122,-1,-2,92,919,0,0,0.18
2004,1,2,11,81,0,81,-1,-2,92,919,0,0,0.18
2004,1,2,12,100,0,100,-1,-2,92,918,1.5,210,0.18
2004,1,2,13,409,571,186,-1,-2,92,918,1.5,270,0.18
2004,1,2,14,270,478,122,-1,-2,92,919,2.1,160,0.18
2004,1,2,15,187,418,107,-2,-4,85,919,0,0,0.18
2004,1,2,16,18,167,10,-2,-4,85,920,2.6,350,0.18
2004,1,2,17,0,0,0,-4,-5,92,920,2.6,20,0.18
2004,1,2,18,0,0,0,-5.1,-5.4,97,920,1.5,30,0.18
2004,1,2,19,0,0,0,-6,-6,100,920,1.5,40,0.18
2004,1,2,20,0,0,0,-9,-10,92,919,0,0,0.18
2004,1,2,21,0,0,0,-9,-11,84,920,2.1,340,0.18
2004,1,2,22,0,0,0,-9,-11.1,83,920,2.1,350,0.18
2004,1,2,23,0,0,0,-9,-11,84,921,1.5,30,0.18
2004,1,3,0,0,0,0,-10,-12,84,921,2.1,360,0.18
2004,1,3,1,0,0,0,-9,-12,77,921,0,0,0.18
2004,1,3,2,0,0,0,-9,-11,84,922,0,0,0.18
2004,1,3,3,0,0,0,-10,-12,84,922,2.1,360,0.18
2004,1,3,4,0,0,0,-11,-13,84,922,1.5,360,0.18
2004,1,3,5,0,0,0,-11,-13,84,923,0,0,0.18
2004,1,3,6,0,0,0,-11,-13,84,923,2.1,10,0.18
2004,1,3,7,0,0,0,-8,-10,84,925,0,0,0.18
2004,1,3,8,80,278,45,-7,-9,84,926,0,0,0.18
2004,1,3,9,128,110,99,-6,-7,92,928,0,0,0.18
2004,1,3,10,185,70,160,-4,-5,92,928,0,0,0.18
2004,1,3,11,272,184,195,-3,-5,84,927,0,0,0.18
2004,1,3,12,249,133,192,-2,-4,85,927,0,0,0.18
2004,1,3,13,415,646,162,-1,-5,71,927,0,0,0.18
2004,1,3,14,317,810,63,0,-5,66,928,1.5,200,0.18
2004,1,3,15,197,580,84,1,-3,72,928,0,0,0.18
2004,1,3,16,20,237,9,1,-4,67,928,0,0,0.18
2004,1,3,17,0,0,0,-1,-3,85,928,2.1,120,0.18
2004,1,3,18,0,0,0,-2,-4,85,928,1.5,220,0.18
2004,1,3,19,0,0,0,-2,-3,92,928,2.1,170,0.18
2004,1,3,20,0,0,0,-2,-4,85,928,0,0,0.18
2004,1,3,21,0,0,0,-2,-4,85,928,2.1,150,0.18
2004,1,3,22,0,0,0,-2,-4,85,928,0,0,0.18
2004,1,3,23,0,0,0,-2,-4,85,928,0,0,0.18
2004,1,4,0,0,0,0,-2,-3,92,928,0,0,0.18
2004,1,4,1,0,0,0,-1,-4,78,928,2.6,160,0.18
2004,1,4,2,0,0,0,-2,-4,85,928,1.5,190,0.18
2004,1,4,3,0,0,0,-2,-4,85,928,2.1,80,0.18
2004,1,4,4,0,0,0,-2,-4,85,927,2.6,130,0.18
2004,1,4,5,0,0,0,-3,-5,84,928,2.6,230,0.18
2004,1,4,6,0,0,0,-4,-6,84,929,1.5,140,0.18
2004,1,4,7,0,0,0,-2,-4,85,930,0,0,0.18
2004,1,4,8,57,111,42,-3,-4,92,930,2.1,250,0.18
2004,1,4,9,174,337,86,-1,-4,78,931,0,0,0.18
2004,1,4,10,207,139,156,1,-3,72,932,1.5,250,0.18
2004,1,4,11,387,618,129,1,-3,72,932,2.6,220,0.18
2004,1,4,12,405,630,134,3,-3,63,932,0,0,0.18
2004,1,4,13,299,310,177,3,-4,58,931,0,0,0.18
2004,1,4,14,316,574,135,3,-4,58,931,0,0,0.18
2004,1,4,15,170,382,95,3,-4,58,932,0,0,0.18
2004,1,4,16,18,160,10,2,-1,80,932,2.1,330,0.18
2004,1,4,17,0,0,0,1,-2,79,932,0,0,0.18
2004,1,4,18,0,0,0,2,-2,73,932,1.5,90,0.18
2004,1,4,19,0,0,0,1,-1,86,932,2.1,350,0.18
2004,1,4,20,0,0,0,1,-2,79,933,2.6,360,0.18
2004,1,4,21,0,0,0,1,-2,79,933,0,0,0.18
2004,1,4,22,0,0,0,0,-2,85,933,0,0,0.18
2004,1,4,23,0,0,0,-1,-2,92,933,1.5,20,0.18
2004,1,5,0,0,0,0,-2,-3,92,932,1.5,30,0.18
2004,1,5,1,0,0,0,-3,-4,92,932,0,0,0.18
2004,1,5,2,0,0,0,-2,-4,85,932,2.1,40,0.18
2004,1,5,3,0,0,0,-2.7,-4.4,87,932,2.1,30,0.18
2004,1,5,4,0,0,0,-3.4,-4.9,88,932,0,0,0.18
2004,1,5,5,0,0,0,-4,-5.3,90,932,0,0,0.18
2004,1,5,6,0,0,0,-5,-6,92,932,0,0,0.18
2004,1,5,7,0,0,0,-6,-8,84,932,0,0,0.18
2004,1,5,8,36,0,36,-3,-4,92,932,0,0,0.18
2004,1,5,9,169,265,100,-2,-4,85,933,2.1,360,0.18
2004,1,5,10,222,168,162,-2,-4,85,933,2.1,330,0.18
2004,1,5,11,370,499,161,-1,-5,71,932,0,0,0.18
2004,1,5,12,224,85,187,1,-4,67,932,0,0,0.18
2004,1,5,13,319,385,167,1,-4,67,931,0,0,0.18
2004,1,5,14,315,645,110,1,-3,72,931,1.5,230,0.18
