Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY2,12839,Miami,FL,USA,25.800000,-80.266667,-5,2
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
1962,1,1,0,0,0,0,20,15,73,1017,6.7,158,0
1962,1,1,1,0,0,0,20.6,15.6,73,1017,5.7,158,0
1962,1,1,2,0,0,0,20,15.6,76,1016,5.2,158,0
1962,1,1,3,0,0,0,20.6,16.1,76,1015,4.6,158,0
1962,1,1,4,0,0,0,20,17.2,84,1016,4.1,158,0
1962,1,1,5,0,0,0,19.4,17.8,90,1016,3.1,180,0
1962,1,1,6,0,0,0,19.4,18.3,93,1016,4.1,203,0
1962,1,1,7,10,0,11,19.4,18.3,93,1017,3.6,225,0
1962,1,1,8,49,0,64,18.3,17.2,93,1017,3.6,248,0
1962,1,1,9,96,0,109,18.9,17.8,93,1017,3.6,180,0
1962,1,1,10,139,0,138,18.9,17.8,93,1016,4.1,180,0
1962,1,1,11,134,0,128,19.4,17.8,90,1016,5.7,203,0
1962,1,1,12,145,9,137,18.9,18.3,97,1015,4.1,203,0
1962,1,1,13,173,55,134,19.4,17.2,87,1014,4.6,225,0
1962,1,1,14,162,0,177,19.4,17.8,90,1014,5.2,225,0
1962,1,1,15,114,8,106,19.4,17.2,87,1014,6.2,248,0
1962,1,1,16,59,0,71,18.3,16.7,90,1014,6.2,225,0
1962,1,1,17,14,0,15,17.8,16.7,93,1015,5.7,225,0
1962,1,1,18,0,0,0,16.7,15.6,93,1015,3.6,248,0
1962,1,1,19,0,0,0,17.2,13.3,78,1015,7.2,293,0
1962,1,1,20,0,0,0,16.7,12.2,75,1016,6.2,293,0
1962,1,1,21,0,0,0,15.6,11.7,78,1017,4.1,293,0
1962,1,1,22,0,0,0,13.3,11.1,86,1017,4.1,293,0
1962,1,1,23,0,0,0,12.8,10.6,86,1017,7.2,315,0
1962,1,2,0,0,0,0,11.7,8.9,83,1017,5.7,315,0
1962,1,2,1,0,0,0,11.1,7.8,80,1017,5.2,338,0
1962,1,2,2,0,0,0,10,7.2,83,1017,3.6,315,0
1962,1,2,3,0,0,0,10,7.2,83,1017,2.6,315,0
1962,1,2,4,0,0,0,8.9,7.2,89,1017,3.1,315,0
1962,1,2,5,0,0,0,8.3,6.7,89,1018,2.6,315,0
1962,1,2,6,0,0,0,7.8,6.7,93,1018,3.6,315,0
1962,1,2,7,40,92,25,8.3,6.1,86,1019,3.6,338,0
1962,1,2,8,165,275,89,9.4,6.7,83,1020,3.6,0,0
1962,1,2,9,367,626,94,11.1,6.1,72,1020,3.6,338,0
1962,1,2,10,519,744,118,13.3,6.7,64,1020,4.6,338,0
1962,1,2,11,613,748,120,15,7.2,60,1020,4.1,338,0
1962,1,2,12,564,459,262,15.6,7.8,60,1019,4.6,293,0
1962,1,2,13,418,187,301,15.6,7.2,58,1019,7.2,315,0
1962,1,2,14,256,32,239,16.7,7.2,54,1018,6.7,315,0
1962,1,2,15,260,297,140,16.7,7.2,54,1018,8.8,293,0
1962,1,2,16,138,286,71,16.1,7.8,58,1019,5.2,293,0
1962,1,2,17,29,54,23,15,8.3,65,1019,5.2,293,0
1962,1,2,18,0,0,0,14.4,7.8,65,1019,3.1,293,0
1962,1,2,19,0,0,0,13.3,7.2,67,1021,3.6,315,0
1962,1,2,20,0,0,0,12.2,6.7,69,1021,3.6,315,0
1962,1,2,21,0,0,0,11.7,6.1,69,1022,3.1,315,0
1962,1,2,22,0,0,0,10,5.6,74,1022,3.1,338,0
1962,1,2,23,0,0,0,8.9,5,77,1022,2.6,315,0
1962,1,3,0,0,0,0,8.3,5,80,1022,2.6,315,0
