Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY2,24131,Boise,ID,USA,43.566667,-116.216667,-7,874
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
1986,1,1,0,0,0,0,-8.3,-10.6,84,919,3.1,320,15
1986,1,1,1,0,0,0,-7.8,-10,84,919,2.1,320,15
1986,1,1,2,0,0,0,-8.3,-10,88,918,0,0,15
1986,1,1,3,0,0,0,-7.8,-9.4,88,917,2.1,320,15
1986,1,1,4,0,0,0,-7.8,-8.9,92,916,2.1,280,15
1986,1,1,5,0,0,0,-7.2,-8.3,92,916,2.6,270,15
1986,1,1,6,0,0,0,-6.7,-7.8,92,915,1.5,210,15
1986,1,1,7,0,0,0,-6.1,-7.2,92,915,2.6,250,15
1986,1,1,8,13,0,13,-5.6,-6.7,92,913,2.6,90,15
1986,1,1,9,105,0,105,-3.3,-4.4,92,913,0,0,15
1986,1,1,10,163,1,163,3.9,-1.1,70,912,10.8,100,15
1986,1,1,11,241,2,240,-3.9,-5.6,88,915,4.1,260,15
1986,1,1,12,314,259,212,-0.6,-2.2,89,914,4.1,110,15
1986,1,1,13,415,601,184,2.2,-1.1,79,915,2.1,170,15
1986,1,1,14,279,367,157,3.3,-0.6,76,915,1.5,150,15
1986,1,1,15,197,485,82,4.4,-1.7,65,916,3.1,310,15
1986,1,1,16,78,420,32,3.3,-1.1,73,917,2.6,310,15
1986,1,1,17,11,55,4,0,-2.8,82,918,2.1,140,15
1986,1,1,18,0,0,0,-0.6,-3.3,82,918,2.6,130,15
1986,1,1,19,0,0,0,-3.3,-5,88,918,1.5,170,15
1986,1,1,20,0,0,0,-3.3,-6.1,81,918,2.1,110,15
1986,1,1,21,0,0,0,-5.6,-7.2,88,919,4.1,110,15
1986,1,1,22,0,0,0,-3.3,-5.6,85,920,3.6,130,15
1986,1,1,23,0,0,0,-3.3,-6.7,78,921,3.6,130,15
1986,1,2,0,0,0,0,-2.8,-6.1,78,920,4.1,120,13
1986,1,2,1,0,0,0,-3.3,-5.6,85,919,5.2,140,13
1986,1,2,2,0,0,0,-2.8,-5.6,81,918,5.2,130,13
1986,1,2,3,0,0,0,-2.2,-5.6,78,918,0,0,13
1986,1,2,4,0,0,0,-3.9,-6.7,81,918,3.1,70,13
1986,1,2,5,0,0,0,-6.7,-7.8,92,918,3.1,360,13
1986,1,2,6,0,0,0,-6.1,-7.2,92,917,0,0,13
1986,1,2,7,0,0,0,-6.7,-7.8,92,917,3.1,110,13
1986,1,2,8,19,10,18,-3.3,-7.2,75,917,6.7,120,13
1986,1,2,9,78,49,70,-2.2,-6.1,75,916,6.2,110,13
1986,1,2,10,190,183,139,-5,-7.8,81,916,2.6,310,13
1986,1,2,11,201,39,187,-3.9,-6.7,81,915,2.6,360,13
1986,1,2,12,188,10,184,-2.2,-5.6,78,914,3.6,340,13
1986,1,2,13,211,25,201,-1.7,-6.1,72,914,2.1,10,13
1986,1,2,14,189,8,187,-1.7,-5,78,913,1.5,250,13
