Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,724580,Concordia Blosser Muni Ap,KS,USA,39.550000,-97.650000,-6,448
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
2004,1,1,0,0,0,0,-1.1,-4.4,76,961,1.5,80,0.2
2004,1,1,1,0,0,0,0,-3.9,72,960,2.1,70,0.2
2004,1,1,2,0,0,0,0,-3.9,72,959,2.1,100,0.2
2004,1,1,3,0,0,0,2.2,-1.1,78,959,2.6,120,0.2
2004,1,1,4,0,0,0,4.4,1.7,83,959,2.1,200,0.2
2004,1,1,5,0,0,0,5,2.2,82,958,5.2,190,0.2
2004,1,1,6,0,0,0,3.9,1.7,86,958,2.1,200,0.2
2004,1,1,7,0,0,0,4.4,2.2,86,959,4.1,210,0.2
2004,1,1,8,29,0,29,5,1.7,79,960,5.2,230,0.2
2004,1,1,9,233,660,71,3.9,-2.2,63,961,6.2,250,0.2
2004,1,1,10,352,759,78,2.8,-4.4,57,962,5.2,270,0.2
2004,1,1,11,427,783,87,5,-4.4,48,961,3.6,250,0.2
2004,1,1,12,459,793,93,6.7,-3.9,45,961,4.1,260,0.2
2004,1,1,13,449,852,74,8.9,-4.4,37,960,4.6,240,0.2
2004,1,1,14,367,811,65,10,-4.4,34,960,3.6,210,0.2
2004,1,1,15,235,713,47,10.6,-4.4,33,960,3.6,220,0.2
2004,1,1,16,84,454,30,9.4,-4.4,36,960,2.1,220,0.2
2004,1,1,17,0,0,0,5.6,-5,44,960,1.5,140,0.2
2004,1,1,18,0,0,0,5,-4.4,48,960,2.1,200,0.2
2004,1,1,19,0,0,0,6.7,-4.4,43,960,5.2,180,0.2
2004,1,1,20,0,0,0,5.6,-4.4,46,960,4.1,170,0.2
2004,1,1,21,0,0,0,4.4,-4.4,51,960,0,0,0.2
2004,1,1,22,0,0,0,-1.1,-5,72,958,3.1,90,0.2
2004,1,1,23,0,0,0,-0.6,-5,69,957,2.1,110,0.2
2004,1,2,0,0,0,0,0,-4.4,69,955,2.6,110,0.2
2004,1,2,1,0,0,0,0.6,-3.3,73,954,2.6,80,0.2
2004,1,2,2,0,0,0,0,-2.2,83,952,2.1,60,0.2
2004,1,2,3,0,0,0,6.7,5,89,952,7.2,160,0.2
2004,1,2,4,0,0,0,7.8,5,82,951,6.2,180,0.2
2004,1,2,5,0,0,0,7.8,4.4,79,950,7.2,190,0.2
2004,1,2,6,0,0,0,6.7,3.3,79,950,7.2,200,0.2
2004,1,2,7,0,0,0,6.1,1.1,70,950,6.7,230,0.2
2004,1,2,8,44,0,44,5.6,-0.6,64,951,5.7,250,0.2
2004,1,2,9,166,201,116,5.6,-1.1,61,953,5.2,250,0.2
2004,1,2,10,365,679,120,8.3,-2.2,46,954,6.2,260,0.2
2004,1,2,11,420,710,112,10,-1.7,43,953,3.6,260,0.2
2004,1,2,12,483,739,141,11.7,-1.7,39,953,4.1,240,0.2
2004,1,2,13,391,506,167,12.8,-1.1,38,953,5.2,240,0.2
2004,1,2,14,200,94,165,13.9,-1.1,35,954,5.2,260,0.2
2004,1,2,15,87,0,87,12.8,-0.6,39,954,3.1,240,0.2
2004,1,2,16,38,15,37,10.6,-0.6,46,954,4.6,210,0.2
2004,1,2,17,0,0,0,11.1,-1.7,40,955,4.1,220,0.2
2004,1,2,18,0,0,0,10,-1.7,43,956,3.6,250,0.2
2004,1,2,19,0,0,0,10,-2.8,39,956,3.1,250,0.2
2004,1,2,20,0,0,0,7.8,-2.2,48,957,1.5,310,0.2
2004,1,2,21,0,0,0,6.7,-3.9,45,958,3.6,10,0.2
2004,1,2,22,0,0,0,5.6,-3.9,49,958,5.2,10,0.2
2004,1,2,23,0,0,0,4.4,-4.4,51,959,6.7,20,0.2
2004,1,3,0,0,0,0,2.8,-5,54,958,7.2,10,0.2
2004,1,3,1,0,0,0,1.7,-5.6,55,959,5.2,10,0.2
2004,1,3,2,0,0,0,0,-6.7,57,959,5.7,10,0.2
2004,1,3,3,0,0,0,0,-7.2,54,959,5.7,20,0.2
2004,1,3,4,0,0,0,-1.1,-8.9,51,959,7.2,20,0.2
2004,1,3,5,0,0,0,-2.2,-9.4,54,961,10.3,10,0.2
2004,1,3,6,0,0,0,-3.3,-10,56,960,6.7,10,0.2
2004,1,3,7,0,0,0,-3.9,-11.1,53,961,7.2,10,0.2
2004,1,3,8,15,0,15,-3.9,-11.7,51,962,7.7,20,0.2
2004,1,3,9,68,0,68,-3.9,-11.7,51,962,7.7,20,0.2
2004,1,3,10,126,0,126,-3.3,-11.1,51,962,7.2,20,0.2
2004,1,3,11,69,0,69,-3.3,-11.1,51,963,5.7,10,0.2
2004,1,3,12,79,0,79,-2.8,-11.7,46,961,6.2,20,0.2
2004,1,3,13,76,0,76,-2.8,-12.2,44,960,7.2,20,0.2
2004,1,3,14,139,6,137,-2.8,-12.2,44,960,7.7,30,0.2
2004,1,3,15,92,0,92,-2.8,-11.7,46,961,7.7,40,0.2
2004,1,3,16,27,0,27,-3.9,-10,59,961,6.2,40,0.2
2004,1,3,17,0,0,0,-4.4,-10.6,58,963,6.7,30,0.2
2004,1,3,18,0,0,0,-5,-11.7,56,962,7.2,30,0.2
2004,1,3,19,0,0,0,-5,-11.7,56,962,8.8,20,0.2
2004,1,3,20,0,0,0,-5.6,-11.7,59,961,7.2,40,0.2
2004,1,3,21,0,0,0,-5.6,-10.6,65,961,8.8,40,0.2
2004,1,3,22,0,0,0,-5.6,-10,68,963,7.2,30,0.2
2004,1,3,23,0,0,0,-6.1,-9.4,75,962,8.8,30,0.2
2004,1,4,0,0,0,0,-6.1,-8.9,78,961,7.2,30,0.2
2004,1,4,1,0,0,0,-6.7,-8.3,87,961,8.8,30,0.2
2004,1,4,2,0,0,0,-7.2,-8.9,86,961,5.2,20,0.2
2004,1,4,3,0,0,0,-7.2,-9.4,82,961,5.7,10,0.2
2004,1,4,4,0,0,0,-7.8,-10,82,961,5.2,10,0.2
2004,1,4,5,0,0,0,-7.8,-10,82,963,6.2,10,0.2
2004,1,4,6,0,0,0,-8.3,-10.6,82,962,7.2,10,0.2
2004,1,4,7,0,0,0,-8.3,-9.4,91,962,4.6,10,0.2
2004,1,4,8,15,0,15,-8.3,-10,86,964,4.1,10,0.2
2004,1,4,9,45,0,45,-8.9,-11.1,82,965,5.2,340,0.2
2004,1,4,10,66,0,66,-9.4,-11.7,81,966,4.6,350,0.2
2004,1,4,11,88,0,88,-8.9,-11.1,82,968,7.2,340,0.2
2004,1,4,12,91,0,91,-8.3,-11.7,74,966,7.2,350,0.2
2004,1,4,13,88,0,88,-7.8,-11.7,71,966,6.7,350,0.2
2004,1,4,14,201,88,167,-7.8,-11.7,71,966,6.2,350,0.2
2004,1,4,15,190,297,110,-8.3,-12.2,71,967,6.7,350,0.2
2004,1,4,16,90,291,53,-8.3,-12.2,71,968,6.7,340,0.2
2004,1,4,17,0,0,0,-8.3,-12.2,71,971,4.1,350,0.2
2004,1,4,18,0,0,0,-9.4,-12.8,74,970,7.7,340,0.2
2004,1,4,19,0,0,0,-9.4,-13.3,70,970,5.7,340,0.2
2004,1,4,20,0,0,0,-10,-13.9,70,971,5.7,340,0.2
2004,1,4,21,0,0,0,-10.6,-15,67,972,6.7,350,0.2
2004,1,4,22,0,0,0,-11.1,-15,70,972,6.2,350,0.2
2004,1,4,23,0,0,0,-11.7,-15.6,70,974,6.7,350,0.2
2004,1,5,0,0,0,0,-12.8,-16.1,74,972,4.6,350,0.2
2004,1,5,1,0,0,0,-13.9,-17.2,74,973,6.2,340,0.2
2004,1,5,2,0,0,0,-15.6,-18.3,78,973,4.6,350,0.2
2004,1,5,3,0,0,0,-16.7,-19.4,77,973,4.6,360,0.2
2004,1,5,4,0,0,0,-16.7,-20,73,974,3.1,330,0.2
2004,1,5,5,0,0,0,-17.8,-20.6,77,978,5.7,330,0.2
2004,1,5,6,0,0,0,-17.8,-21.1,73,976,5.2,350,0.2
2004,1,5,7,0,0,0,-17.8,-22.2,66,977,5.2,350,0.2
2004,1,5,8,59,77,51,-18.3,-22.2,69,978,5.7,360,0.2
2004,1,5,9,233,718,57,-17.2,-23.9,52,979,6.7,360,0.2
2004,1,5,10,365,673,121,-16.1,-23.3,50,979,4.6,360,0.2
