Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY2,03947,Kansas City,MO,USA,39.300000,-94.716667,-6,315
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
1971,1,1,0,0,0,0,3,1.4,89,984,8.4,180,0
1971,1,1,1,0,0,0,3.1,0.8,85,984,7.6,190,0
1971,1,1,2,0,0,0,3.3,0.6,82,983,6.7,190,0
1971,1,1,3,0,0,0,3.5,0.2,79,983,5.8,190,0
1971,1,1,4,0,0,0,3.7,-0.1,76,983,5,200,0
1971,1,1,5,0,0,0,3.9,-0.6,73,982,4.1,200,0
1971,1,1,6,0,0,0,3.9,-0.8,71,983,4.5,220,0
1971,1,1,7,13,76,5,3.9,-1.1,69,984,4.8,250,0
1971,1,1,8,91,508,24,3.9,-1.7,67,985,5.2,270,0
1971,1,1,9,225,667,42,5,-0.5,67,985,4.8,280,0
1971,1,1,10,357,719,82,6.1,0.6,68,986,4.5,300,0
1971,1,1,11,414,679,111,7.2,1.7,68,986,4.1,310,0
1971,1,1,12,345,469,128,8.1,1.7,64,986,4.6,310,0
1971,1,1,13,242,273,124,9.1,2,61,987,5.2,300,0
1971,1,1,14,215,231,133,10,1.7,57,987,5.7,300,0
1971,1,1,15,146,256,86,9.3,1.2,57,987,3.8,300,0
1971,1,1,16,50,39,46,8.5,0.2,56,988,1.9,300,0
1971,1,1,17,0,0,0,7.8,-0.6,56,989,0,0,0
1971,1,1,18,0,0,0,7.1,-0.5,58,989,1,300,0
1971,1,1,19,0,0,0,6.3,-0.6,61,990,2.1,300,0
1971,1,1,20,0,0,0,5.6,-1.1,63,990,3.1,300,0
1971,1,1,21,0,0,0,5.2,-0.7,65,991,3.3,300,0
1971,1,1,22,0,0,0,4.8,-0.5,68,991,3.4,310,0
1971,1,1,23,0,0,0,4.4,-0.6,70,992,3.6,310,0
1971,1,2,0,0,0,0,4,-1.4,67,992,3.1,330,0
1971,1,2,1,0,0,0,3.7,-2,65,992,2.6,360,0
1971,1,2,2,0,0,0,3.3,-3.3,62,992,2.1,20,0
1971,1,2,3,0,0,0,2,-3.1,67,992,2.8,20,0
1971,1,2,4,0,0,0,0.7,-3.2,73,992,3.4,10,0
1971,1,2,5,0,0,0,-0.6,-3.9,78,993,4.1,10,0
1971,1,2,6,0,0,0,0.3,-3.5,73,993,3.4,20,0
1971,1,2,7,12,50,7,1.3,-3.7,67,993,2.8,40,0
1971,1,2,8,82,368,34,2.2,-4.4,62,994,2.1,50,0
1971,1,2,9,179,395,70,3.3,-3.5,59,993,3.1,50,0
1971,1,2,10,306,412,148,4.5,-3.1,56,993,4.2,50,0
1971,1,2,11,345,243,236,5.6,-3.3,53,993,5.2,50,0
