Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY2,24023,North Platte,NE,USA,41.133333,-100.683333,-6,849
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
1968,1,1,0,0,0,0,-11.3,-14.2,77,912,2.9,230,5
1968,1,1,1,0,0,0,-11,-13.9,77,912,2.8,210,5
1968,1,1,2,0,0,0,-10.6,-13.9,77,912,2.6,190,5
1968,1,1,3,0,0,0,-11.5,-14.2,78,912,2.4,170,5
1968,1,1,4,0,0,0,-12.4,-15,79,912,2.3,150,5
1968,1,1,5,0,0,0,-13.3,-16.1,80,912,2.1,130,5
1968,1,1,6,0,0,0,-13.5,-15.8,81,912,2.1,180,5
1968,1,1,7,0,0,0,-13.7,-15.9,82,913,2.1,220,5
1968,1,1,8,39,148,27,-13.9,-16.1,83,914,2.1,270,5
1968,1,1,9,157,501,58,-11.3,-14.2,77,913,1.4,240,5
1968,1,1,10,287,704,63,-8.7,-12.5,71,913,0.7,210,5
1968,1,1,11,405,854,65,-6.1,-11.7,65,913,0,0,5
1968,1,1,12,454,873,75,-4.3,-9.4,64,913,0.5,150,5
1968,1,1,13,397,737,85,-2.4,-8,62,913,1,120,5
1968,1,1,14,344,727,78,-0.6,-7.2,61,913,1.5,90,5
1968,1,1,15,195,375,96,-2.6,-7.5,66,913,3.2,80,5
1968,1,1,16,57,74,48,-4.7,-8.5,72,914,5,80,5
1968,1,1,17,1,1,1,-6.7,-10,77,915,6.7,70,5
1968,1,1,18,0,0,0,-8.5,-11.6,76,916,6.7,70,5
1968,1,1,19,0,0,0,-10.4,-13.7,74,917,6.7,70,5
1968,1,1,20,0,0,0,-12.2,-16.1,73,917,6.7,70,5
1968,1,1,21,0,0,0,-13.3,-16.7,73,918,7.4,60,5
1968,1,1,22,0,0,0,-14.5,-18,72,919,8.1,60,5
1968,1,1,23,0,0,0,-15.6,-19.4,72,919,8.8,50,5
1968,1,2,0,0,0,0,-16.9,-20.1,74,920,8.4,50,3
1968,1,2,1,0,0,0,-18.1,-20.8,77,922,8.1,40,3
1968,1,2,2,0,0,0,-19.4,-22.2,79,923,7.7,40,3
1968,1,2,3,0,0,0,-20,-22.8,76,923,7,30,3
1968,1,2,4,0,0,0,-20.5,-23.6,74,923,6.4,20,3
1968,1,2,5,0,0,0,-21.1,-25,71,923,5.7,10,3
1968,1,2,6,0,0,0,-21.1,-25.1,67,924,5.2,10,3
1968,1,2,7,0,0,0,-21.1,-26,62,925,4.6,10,3
1968,1,2,8,14,2,14,-21.1,-27.2,58,926,4.1,10,3
1968,1,2,9,60,1,60,-20.5,-26.4,56,926,4.8,10,3
1968,1,2,10,148,2,148,-20,-26.1,55,926,5.5,10,3
1968,1,2,11,185,4,184,-19.4,-26.7,53,926,6.2,10,3
1968,1,2,12,234,0,233,-19.2,-25.7,53,925,6,10,3
1968,1,2,13,205,6,202,-19.1,-25.6,53,924,5.9,20,3
1968,1,2,14,200,0,200,-18.9,-26.1,53,924,5.7,20,3
1968,1,2,15,115,1,115,-18.9,-25.4,53,924,4.5,10,3
1968,1,2,16,55,0,55,-18.9,-25.4,53,924,3.3,0,3
1968,1,2,17,9,0,9,-18.9,-26.1,53,925,2.1,350,3
1968,1,2,18,0,0,0,-20.2,-25.9,57,924,2.1,350,3
1968,1,2,19,0,0,0,-21.5,-26.7,60,924,2.1,350,3
1968,1,2,20,0,0,0,-22.8,-27.8,64,924,2.1,350,3
1968,1,2,21,0,0,0,-23.9,-28.2,65,924,1.4,350,3
1968,1,2,22,0,0,0,-25,-29.2,65,923,0.7,350,3
1968,1,2,23,0,0,0,-26.1,-30.6,66,923,0,0,3
1968,1,3,0,0,0,0,-26.3,-30.7,64,922,0,0,3
1968,1,3,1,0,0,0,-26.5,-31.3,61,922,0,0,3
1968,1,3,2,0,0,0,-26.7,-32.2,59,921,0,0,3
1968,1,3,3,0,0,0,-25.9,-30.9,60,920,0,0,3
1968,1,3,4,0,0,0,-25.2,-29.9,62,919,0,0,3
1968,1,3,5,0,0,0,-24.4,-29.4,63,919,0,0,3
1968,1,3,6,0,0,0,-23.5,-28.2,62,919,1,330,3
1968,1,3,7,0,0,0,-22.6,-27.4,62,919,2.1,320,3
1968,1,3,8,34,125,23,-21.7,-27.2,61,918,3.1,320,3
1968,1,3,9,152,422,68,-19.3,-24.5,60,918,3.4,300,3
1968,1,3,10,307,647,100,-16.8,-22.5,58,918,3.8,290,3
1968,1,3,11,414,683,141,-14.4,-21.1,57,917,4.1,270,3
1968,1,3,12,438,641,158,-11.3,-17.8,55,917,4.6,290,3
1968,1,3,13,405,495,194,-8.1,-15.4,52,917,5.2,310,3
1968,1,3,14,210,159,151,-5,-13.9,50,917,5.7,330,3
1968,1,3,15,172,266,100,-6.5,-13.6,53,918,5.3,330,3
1968,1,3,16,99,491,33,-7.9,-14.4,56,919,5,320,3
