Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY2,23050,Albuquerque,NM,USA,35.050000,-106.616667,-7,1619
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
1982,1,1,0,0,0,0,6.7,-1.7,56,832,5.2,180,0
1982,1,1,1,0,0,0,6.7,-1.7,56,832,4.1,190,0
1982,1,1,2,0,0,0,7.2,-2.2,51,831,5.7,190,0
1982,1,1,3,0,0,0,6.7,-2.2,53,831,8.2,190,0
1982,1,1,4,0,0,0,6.7,-1.7,56,831,5.7,190,0
1982,1,1,5,0,0,0,6.1,-1.7,58,830,4.1,120,0
1982,1,1,6,0,0,0,6.1,-1.1,60,831,7.2,180,0
1982,1,1,7,12,0,9,5.6,-1.1,63,831,5.2,180,0
1982,1,1,8,50,1,48,6.7,-0.6,60,831,6.2,180,0
1982,1,1,9,36,1,33,6.7,-0.6,60,831,4.6,190,0
1982,1,1,10,86,1,85,7.8,-0.6,56,830,5.7,190,0
1982,1,1,11,80,0,80,6.7,1.7,71,829,4.6,190,0
1982,1,1,12,54,0,53,6.7,2.8,76,828,2.1,300,0
1982,1,1,13,67,0,68,6.7,2.2,74,827,0,0,0
1982,1,1,14,82,1,82,6.7,2.8,76,826,3.1,310,0
1982,1,1,15,37,2,35,6.7,2.8,76,826,3.6,90,0
1982,1,1,16,9,1,5,6.7,2.8,76,826,2.1,360,0
1982,1,1,17,0,0,0,6.1,2.8,79,826,1.5,60,0
1982,1,1,18,0,0,0,6.7,2.2,74,826,2.6,260,0
1982,1,1,19,0,0,0,6.7,2.2,74,826,3.6,230,0
1982,1,1,20,0,0,0,6.1,1.7,73,826,2.6,160,0
1982,1,1,21,0,0,0,5.6,1.7,76,826,3.6,220,0
1982,1,1,22,0,0,0,6.1,0.6,68,826,8.2,230,0
1982,1,1,23,0,0,0,5,-2.2,60,826,6.2,220,0
1982,1,2,0,0,0,0,3.3,0,79,826,6.2,230,0
1982,1,2,1,0,0,0,3.3,0,79,826,3.1,120,0
1982,1,2,2,0,0,0,3.3,0,79,826,3.6,190,0
1982,1,2,3,0,0,0,3.9,-1.1,70,826,4.6,350,0
1982,1,2,4,0,0,0,2.8,-1.1,76,826,1.5,60,0
1982,1,2,5,0,0,0,2.2,-0.6,82,827,2.6,190,0
1982,1,2,6,0,0,0,1.7,0,89,827,0,0,0
1982,1,2,7,5,0,2,1.1,0,92,827,3.1,160,0
1982,1,2,8,42,0,39,1.7,0,89,828,5.2,180,0
1982,1,2,9,152,35,132,1.7,1.1,96,828,4.6,160,0
1982,1,2,10,310,145,235,4.4,1.1,79,827,5.7,210,0
1982,1,2,11,186,30,172,5,0.6,73,826,3.6,170,0
1982,1,2,12,220,49,193,6.1,0.6,68,825,5.2,210,0
1982,1,2,13,210,42,190,7.2,-5,42,825,10.3,270,0
1982,1,2,14,295,501,117,7.2,-3.3,47,825,10.8,270,0
1982,1,2,15,245,805,48,6.7,-5.6,42,826,9.8,260,0
1982,1,2,16,65,286,28,5,-12.2,28,826,11.8,260,0
1982,1,2,17,2,5,0,2.8,-13.3,30,826,6.2,260,0
1982,1,2,18,0,0,0,1.1,-11.7,38,827,5.2,270,0
1982,1,2,19,0,0,0,0,-11.1,43,827,3.1,200,0
1982,1,2,20,0,0,0,-1.1,-10,51,828,3.1,230,0
1982,1,2,21,0,0,0,0,-8.3,54,828,5.7,310,0
1982,1,2,22,0,0,0,-0.6,-9.4,51,828,5.2,310,0
1982,1,2,23,0,0,0,-1.1,-7.8,61,828,1.5,360,0
1982,1,3,0,0,0,0,-1.7,-7.8,63,829,4.6,250,0
1982,1,3,1,0,0,0,-2.2,-7.8,66,828,3.6,230,0
1982,1,3,2,0,0,0,-2.8,-8.3,66,829,2.1,290,0
1982,1,3,3,0,0,0,-3.3,-8.9,66,830,4.1,340,0
1982,1,3,4,0,0,0,-4.4,-9.4,68,830,3.6,10,0
1982,1,3,5,0,0,0,-4.4,-11.7,58,831,4.1,350,0
1982,1,3,6,0,0,0,-4.4,-12.2,55,832,3.1,340,0
1982,1,3,7,13,2,10,-3.9,-12.8,50,833,5.2,340,0
1982,1,3,8,166,573,39,-2.2,-12.2,47,834,4.6,340,0
1982,1,3,9,357,906,46,-0.6,-12.8,40,836,7.2,310,0
1982,1,3,10,498,987,58,0.6,-13.9,33,836,9.8,310,0
1982,1,3,11,578,1029,60,1.7,-15.6,27,836,8.2,330,0
1982,1,3,12,590,1021,69,2.2,-15,27,836,9.8,290,0
1982,1,3,13,521,990,59,2.2,-16.7,24,836,11.3,300,0
1982,1,3,14,423,932,54,2.2,-16.1,25,837,11.3,310,0
1982,1,3,15,261,859,49,1.1,-16.1,27,838,10.8,310,0
1982,1,3,16,87,505,31,0,-16.7,28,839,7.7,320,0
1982,1,3,17,2,12,0,-1.7,-16.1,33,840,6.2,350,0
1982,1,3,18,0,0,0,-2.8,-15,39,841,4.6,360,0
1982,1,3,19,0,0,0,-3.9,-15,42,842,3.1,50,0
1982,1,3,20,0,0,0,-5,-13.9,50,843,4.1,350,0
1982,1,3,21,0,0,0,-6.1,-13.3,57,843,3.6,350,0
1982,1,3,22,0,0,0,-7.8,-13.9,62,843,4.6,300,0
1982,1,3,23,0,0,0,-7.8,-13.9,62,843,0,0,0
1982,1,4,0,0,0,0,-10,-14.4,70,843,0,0,0
1982,1,4,1,0,0,0,-9.4,-13.9,70,844,3.1,40,0
1982,1,4,2,0,0,0,-9.4,-14.4,67,844,3.1,190,0
1982,1,4,3,0,0,0,-10.6,-14.4,73,843,0,0,0
1982,1,4,4,0,0,0,-11.1,-14.4,77,843,0,0,0
1982,1,4,5,0,0,0,-10.6,-13.9,77,843,2.6,100,0
1982,1,4,6,0,0,0,-10.6,-13.9,77,843,2.1,140,0
1982,1,4,7,35,101,22,-8.9,-13.3,71,844,0,0,0
1982,1,4,8,193,622,57,-5,-12.8,55,844,0,0,0
1982,1,4,9,358,933,43,-2.2,-12.8,45,844,0,0,0
1982,1,4,10,484,1003,41,-0.6,-12.2,41,843,2.1,250,0
1982,1,4,11,557,1015,47,0.6,-13.3,35,842,1.5,180,0
1982,1,4,12,573,1025,49,1.7,-15,28,841,3.6,220,0
1982,1,4,13,505,910,76,2.8,-15.6,25,840,0,0,0
1982,1,4,14,291,347,148,3.3,-17.8,20,839,0,0,0
1982,1,4,15,193,260,141,3.9,-16.7,21,839,0,0,0
1982,1,4,16,104,375,57,3.3,-16.1,23,839,0,0,0
1982,1,4,17,2,0,0,1.1,-16.1,27,839,0,0,0
1982,1,4,18,0,0,0,0.6,-15.6,29,839,0,0,0
1982,1,4,19,0,0,0,-1.7,-14.4,37,839,2.6,110,0
1982,1,4,20,0,0,0,-2.8,-14.4,41,839,3.6,110,0
1982,1,4,21,0,0,0,-2.2,-13.3,43,839,4.1,160,0
1982,1,4,22,0,0,0,-0.6,-12.8,40,839,4.6,150,0
1982,1,4,23,0,0,0,-0.6,-12.2,41,838,5.2,170,0
1982,1,5,0,0,0,0,1.1,-11.7,38,838,6.2,170,0
1982,1,5,1,0,0,0,0,-12.2,40,838,3.1,170,0
1982,1,5,2,0,0,0,0,-11.1,43,837,4.6,140,0
1982,1,5,3,0,0,0,0.6,-10.6,44,837,2.6,100,0
1982,1,5,4,0,0,0,1.1,-9.4,46,837,3.1,120,0
1982,1,5,5,0,0,0,1.1,-9.4,46,836,3.1,170,0
1982,1,5,6,0,0,0,0.6,-8.9,50,836,0,0,0
1982,1,5,7,17,0,13,0.6,-9.4,48,836,0,0,0
1982,1,5,8,56,1,54,1.1,-8.9,48,836,2.1,120,0
1982,1,5,9,142,2,144,3.9,-8.3,41,836,3.6,180,0
1982,1,5,10,210,3,214,5.6,-7.2,40,835,4.1,170,0
1982,1,5,11,262,4,268,7.2,-7.8,34,834,2.6,200,0
1982,1,5,12,440,176,351,8.9,-8.3,29,832,3.1,180,0
1982,1,5,13,224,3,227,8.9,-7.8,30,831,4.1,240,0
1982,1,5,14,173,5,173,8.3,-6.1,36,832,3.1,340,0
1982,1,5,15,100,1,100,8.9,-2.8,44,832,4.6,290,0
1982,1,5,16,43,66,35,8.3,-1.1,52,831,0,0,0
1982,1,5,17,4,4,1,7.8,-1.7,52,831,3.6,230,0
1982,1,5,18,0,0,0,7.2,-2.2,51,831,4.1,270,0
1982,1,5,19,0,0,0,5,-2.8,58,831,3.6,210,0
1982,1,5,20,0,0,0,6.1,-2.8,53,832,4.1,210,0
1982,1,5,21,0,0,0,3.9,-2.8,62,832,4.6,180,0
1982,1,5,22,0,0,0,2.2,-2.2,73,832,0,0,0
1982,1,5,23,0,0,0,4.4,-1.7,65,832,2.1,230,0
1982,1,6,0,0,0,0,1.7,-2.8,73,831,2.1,180,0
1982,1,6,1,0,0,0,1.7,-2.8,73,831,4.1,190,0
1982,1,6,2,0,0,0,1.7,-3.3,70,831,4.6,220,0
1982,1,6,3,0,0,0,3.3,-2.8,65,831,4.6,230,0
1982,1,6,4,0,0,0,-1.1,-4.4,78,831,3.1,140,0
1982,1,6,5,0,0,0,0,-3.9,75,831,2.6,100,0
1982,1,6,6,0,0,0,0.6,-1.1,89,832,3.1,60,0
1982,1,6,7,28,18,26,2.2,-0.6,82,832,1.5,190,0
1982,1,6,8,143,303,79,4.4,0,73,832,7.2,280,0
1982,1,6,9,313,497,136,6.7,0,63,833,7.7,250,0
1982,1,6,10,447,684,131,8.3,-1.7,50,833,10.3,250,0
1982,1,6,11,555,694,192,8.9,-0.6,52,832,7.7,250,0
1982,1,6,12,419,280,270,8.9,-1.7,48,831,9.3,240,0
1982,1,6,13,383,436,168,9.4,-2.2,44,830,10.3,270,0
1982,1,6,14,384,644,125,10.6,-2.2,41,830,10.3,240,0
1982,1,6,15,248,705,58,10,-3.3,39,831,6.7,230,0
1982,1,6,16,81,499,28,8.3,-3.3,44,832,5.2,230,0
1982,1,6,17,6,17,3,5.6,-3.9,51,832,3.6,190,0
1982,1,6,18,0,0,0,5,-3.9,53,833,4.6,220,0
1982,1,6,19,0,0,0,5,-3.9,53,834,5.2,190,0
1982,1,6,20,0,0,0,4.4,-2.8,60,835,4.6,190,0
1982,1,6,21,0,0,0,2.8,-3.3,65,835,3.1,160,0
1982,1,6,22,0,0,0,2.8,-3.9,62,836,0,0,0
1982,1,6,23,0,0,0,3.3,-4.4,57,836,3.6,180,0
1982,1,7,0,0,0,0,2.8,-3.9,62,837,6.2,310,0
1982,1,7,1,0,0,0,1.1,-3.9,70,838,7.2,360,0
1982,1,7,2,0,0,0,0.6,-4.4,70,838,6.2,340,0
1982,1,7,3,0,0,0,-0.6,-5,72,839,4.1,320,0
1982,1,7,4,0,0,0,-0.6,-5.6,69,840,7.2,350,0
1982,1,7,5,0,0,0,-1.1,-7.2,64,841,6.7,360,0
1982,1,7,6,0,0,0,-1.1,-7.8,61,842,5.2,340,0
1982,1,7,7,29,29,27,-1.7,-7.8,63,843,5.7,350,0
1982,1,7,8,120,103,99,-2.2,-9.4,58,844,5.2,360,0
1982,1,7,9,261,267,166,-1.1,-8.9,56,845,5.7,10,0
1982,1,7,10,363,379,187,1.1,-8.3,50,845,5.2,350,0
1982,1,7,11,243,69,206,1.7,-7.8,50,845,3.1,340,0
1982,1,7,12,408,358,216,2.2,-7.8,48,845,3.6,60,0
1982,1,7,13,498,814,96,4.4,-7.2,43,844,5.2,10,0
1982,1,7,14,412,839,73,5,-7.8,40,845,6.2,340,0
1982,1,7,15,253,802,34,3.9,-8.3,41,845,6.2,340,0
1982,1,7,16,82,590,18,2.2,-8.9,44,846,6.2,350,0
1982,1,7,17,8,31,2,-0.6,-11.1,45,846,4.6,350,0
1982,1,7,18,0,0,0,-2.2,-11.1,51,847,0,0,0
1982,1,7,19,0,0,0,-3.3,-11.1,55,848,5.2,350,0
1982,1,7,20,0,0,0,-4.4,-11.7,58,849,5.2,360,0
1982,1,7,21,0,0,0,-4.4,-12.2,55,849,5.2,10,0
1982,1,7,22,0,0,0,-5,-12.2,57,849,5.2,360,0
1982,1,7,23,0,0,0,-5.6,-12.2,60,850,6.7,360,0
1982,1,8,0,0,0,0,-7.2,-13.3,62,850,5.2,350,0
1982,1,8,1,0,0,0,-7.8,-13.3,65,849,6.2,360,0
1982,1,8,2,0,0,0,-7.8,-13.9,62,850,7.2,350,0
1982,1,8,3,0,0,0,-8.3,-14.4,62,850,6.2,350,0
1982,1,8,4,0,0,0,-8.9,-13.9,67,850,7.2,350,0
1982,1,8,5,0,0,0,-10,-14.4,70,850,6.2,360,0
1982,1,8,6,0,0,0,-10,-15,67,850,8.2,360,0
1982,1,8,7,40,285,13,-10.6,-15,70,850,6.2,360,0
1982,1,8,8,181,578,60,-8.3,-14.4,62,851,4.6,360,0
1982,1,8,9,320,653,87,-4.4,-13.3,50,851,8.2,360,0
1982,1,8,10,473,843,81,-2.2,-13.3,43,850,4.6,360,0
1982,1,8,11,583,935,91,0,-13.3,36,849,3.6,340,0
1982,1,8,12,542,783,121,1.1,-12.8,35,848,0,0,0
1982,1,8,13,513,857,88,3.3,-13.3,29,848,0,0,0
1982,1,8,14,381,688,101,3.9,-14.4,25,847,6.2,360,0
1982,1,8,15,253,724,54,4.4,-16.7,20,847,7.2,350,0
1982,1,8,16,61,319,26,1.7,-18.3,21,847,5.7,340,0
1982,1,8,17,10,24,5,-0.6,-18.3,25,848,5.7,330,0
1982,1,8,18,0,0,0,-1.7,-17.8,28,848,4.1,340,0
1982,1,8,19,0,0,0,-2.8,-14.4,41,848,6.7,350,0
1982,1,8,20,0,0,0,-3.3,-13.9,44,849,5.7,350,0
1982,1,8,21,0,0,0,-4.4,-13.9,48,849,4.1,10,0
1982,1,8,22,0,0,0,-3.9,-13.9,46,849,6.7,360,0
1982,1,8,23,0,0,0,-4.4,-13.9,48,849,6.2,360,0
