Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,723546,Ponca City Municipal Ap [sgp - Arm],OK,USA,36.610000,-97.490000,-6,318
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
2002,1,1,0,0,0,0,-6.1,-10,71,989,0,0,0.19
2002,1,1,1,0,0,0,-6.7,-10.6,71,989,0,0,0.19
2002,1,1,2,0,0,0,-7.8,-11.1,75,990,0,0,0.19
2002,1,1,3,0,0,0,-8.3,-10.6,82,990,0,0,0.19
2002,1,1,4,0,0,0,-6.1,-10.6,67,990,3.6,40,0.19
2002,1,1,5,0,0,0,-8.9,-12.2,75,990,2.1,30,0.19
2002,1,1,6,0,0,0,-6.7,-10.6,71,991,2.6,60,0.19
2002,1,1,7,0,0,0,-8.3,-12.2,71,991,2.1,10,0.19
2002,1,1,8,116,475,55,-4.4,-11.1,56,993,3.1,60,0.19
2002,1,1,9,263,683,70,-2.2,-11.1,46,993,3.1,70,0.19
2002,1,1,10,388,670,119,-0.6,-11.1,41,994,2.6,50,0.19
2002,1,1,11,494,860,82,1.1,-11.1,36,993,2.1,90,0.19
2002,1,1,12,519,865,81,2.8,-11.1,32,992,1.5,60,0.19
2002,1,1,13,467,727,115,3.3,-10.6,32,991,3.1,20,0.19
2002,1,1,14,414,790,87,3.3,-9.4,35,991,3.6,360,0.19
2002,1,1,15,259,644,67,2.8,-9.4,37,991,5.2,360,0.19
2002,1,1,16,99,392,40,0.6,-9.4,43,991,3.6,350,0.19
2002,1,1,17,0,0,0,-2.8,-10.6,51,991,3.1,360,0.19
2002,1,1,18,0,0,0,-4.4,-11.1,56,992,1.5,360,0.19
2002,1,1,19,0,0,0,-5,-11.7,56,992,2.6,20,0.19
2002,1,1,20,0,0,0,-5,-10,65,993,3.1,10,0.19
2002,1,1,21,0,0,0,-3.9,-10,59,993,3.1,20,0.19
2002,1,1,22,0,0,0,-3.3,-10.6,53,993,4.1,10,0.19
2002,1,1,23,0,0,0,-3.9,-14.4,40,993,5.7,30,0.19
2002,1,2,0,0,0,0,-5,-15.6,39,994,6.2,20,0.19
2002,1,2,1,0,0,0,-5.6,-16.7,37,994,5.7,30,0.19
2002,1,2,2,0,0,0,-6.7,-16.7,41,995,4.1,20,0.19
2002,1,2,3,0,0,0,-8.3,-16.7,47,995,5.2,360,0.19
2002,1,2,4,0,0,0,-9.4,-16.1,54,995,3.6,350,0.19
2002,1,2,5,0,0,0,-11.1,-16.1,63,994,3.6,340,0.19
2002,1,2,6,0,0,0,-12.8,-16.1,74,994,4.1,350,0.19
2002,1,2,7,0,0,0,-13.3,-16.1,77,995,4.1,340,0.19
2002,1,2,8,116,476,55,-11.1,-14.4,74,996,4.1,340,0.19
2002,1,2,9,263,715,61,-9.4,-13.9,67,996,6.7,360,0.19
2002,1,2,10,401,781,87,-7.2,-13.9,55,996,5.7,360,0.19
2002,1,2,11,488,709,148,-6.7,-14.4,50,995,4.1,360,0.19
2002,1,2,12,405,330,237,-5.6,-13.9,48,994,3.6,20,0.19
2002,1,2,13,467,668,143,-5,-13.9,46,993,4.6,350,0.19
2002,1,2,14,319,348,175,-5,-14.4,43,993,3.1,340,0.19
2002,1,2,15,275,604,93,-4.4,-13.9,43,993,3.1,360,0.19
2002,1,2,16,112,503,36,-5,-14.4,43,993,4.1,330,0.19
2002,1,2,17,0,0,0,-7.2,-15,50,992,1.5,300,0.19
2002,1,2,18,0,0,0,-8.3,-15,55,992,0,0,0.19
2002,1,2,19,0,0,0,-11.1,-16.1,63,992,0,0,0.19
2002,1,2,20,0,0,0,-12.2,-16.7,66,992,0,0,0.19
2002,1,2,21,0,0,0,-13.9,-16.7,77,991,0,0,0.19
2002,1,2,22,0,0,0,-13.3,-16.7,73,991,0,0,0.19
2002,1,2,23,0,0,0,-15,-17.2,81,990,0,0,0.19
2002,1,3,0,0,0,0,-15,-17.2,81,990,0,0,0.19
2002,1,3,1,0,0,0,-13.9,-17.2,74,990,0,0,0.19
2002,1,3,2,0,0,0,-15.6,-18.3,78,990,0,0,0.19
2002,1,3,3,0,0,0,-16.1,-18.9,77,989,0,0,0.19
