Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,723346,Jackson Mckellar-sipes Regl A,TN,USA,35.600000,-88.917000,-6,132
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
1997,1,1,0,0,0,0,11,9,87,1006,2.6,30,0.17
1997,1,1,1,0,0,0,11,9,87,1006,2.1,20,0.17
1997,1,1,2,0,0,0,11,9,87,1006,0,0,0.17
1997,1,1,3,0,0,0,11,10,94,1005,0,0,0.17
1997,1,1,4,0,0,0,11,10,94,1005,0,0,0.17
1997,1,1,5,0,0,0,11,9,87,1005,2.6,350,0.17
1997,1,1,6,0,0,0,11,9,87,1005,2.1,40,0.17
1997,1,1,7,9,0,9,11.1,9.4,89,1005,2.4,110,0.17
1997,1,1,8,46,0,46,12,10,88,1004,2.6,180,0.17
1997,1,1,9,84,0,84,13,10,82,1005,2.6,200,0.17
1997,1,1,10,112,0,112,13,11.1,88,1002,3.1,220,0.17
1997,1,1,11,106,0,106,13,12,94,998,3.6,230,0.17
1997,1,1,12,106,0,106,14,11,82,1002,4.1,230,0.17
1997,1,1,13,112,0,112,14,10,77,1002,5.1,250,0.17
1997,1,1,14,83,0,83,14,10,77,1002,3.1,260,0.17
1997,1,1,15,45,0,45,14,10,77,1001,3.1,210,0.17
1997,1,1,16,11,0,11,14,10,77,1002,2.1,240,0.17
1997,1,1,17,0,0,0,14,10,77,1002,0,0,0.17
1997,1,1,18,0,0,0,13,10,82,1002,0,0,0.17
1997,1,1,19,0,0,0,12.9,10.5,85,1002,1.3,90,0.17
1997,1,1,20,0,0,0,13,11,88,1001,2.6,170,0.17
1997,1,1,21,0,0,0,13,10,82,1002,2.6,220,0.17
1997,1,1,22,0,0,0,13,11,88,1002,0,0,0.17
1997,1,1,23,0,0,0,13,11,88,1002,2.6,160,0.17
1997,1,2,0,0,0,0,13,11,88,1001,4.1,180,0.17
1997,1,2,1,0,0,0,13,11,88,1001,5.1,190,0.17
1997,1,2,2,0,0,0,13,11,88,1001,3.6,180,0.17
1997,1,2,3,0,0,0,13,11,88,1001,5.1,190,0.17
1997,1,2,4,0,0,0,13,11,88,1001,4.1,200,0.17
1997,1,2,5,0,0,0,14,12,88,1001,4.1,190,0.17
1997,1,2,6,0,0,0,14,12,88,1001,2.6,180,0.17
1997,1,2,7,11,0,11,14,12,88,1001,4.1,180,0.17
1997,1,2,8,44,0,44,15,12,82,1001,5.1,190,0.17
1997,1,2,9,110,0,110,16,13,82,1001,6.7,210,0.17
1997,1,2,10,120,0,120,17,14,82,1001,6.2,200,0.17
1997,1,2,11,161,0,161,18.2,13.9,76,1000,6.7,220,0.17
1997,1,2,12,161,0,161,19,14,73,998,7.2,210,0.17
1997,1,2,13,143,0,143,19,14,73,998,6.7,200,0.17
1997,1,2,14,109,0,109,18,14,77,998,6.2,220,0.17
1997,1,2,15,53,0,53,18,15,83,999,4.6,210,0.17
1997,1,2,16,14,0,14,18,15,83,998,4.1,180,0.17
1997,1,2,17,0,0,0,18,15,83,998,4.6,200,0.17
1997,1,2,18,0,0,0,18,15,83,998,5.1,210,0.17
1997,1,2,19,0,0,0,17,15,88,997,5.7,210,0.17
1997,1,2,20,0,0,0,17,14.6,86,997,5.4,210,0.17
1997,1,2,21,0,0,0,17,14,82,997,5.1,200,0.17
1997,1,2,22,0,0,0,17,14,82,997,5.7,220,0.17
1997,1,2,23,0,0,0,17,14,82,996,5.1,200,0.17
1997,1,3,0,0,0,0,17,15,88,996,5.1,190,0.17
1997,1,3,1,0,0,0,17,15,88,996,4.1,200,0.17
1997,1,3,2,0,0,0,16,14,88,996,4.1,180,0.17
1997,1,3,3,0,0,0,16,14,88,996,5.1,190,0.17
1997,1,3,4,0,0,0,16,14,88,996,5.1,200,0.17
1997,1,3,5,0,0,0,16,14,88,996,5.1,210,0.17
1997,1,3,6,0,0,0,17,14,82,997,6.2,190,0.17
1997,1,3,7,10,0,10,17,15,88,997,4.6,170,0.17
1997,1,3,8,59,0,59,17,16,94,998,4.6,180,0.17
1997,1,3,9,105,0,105,18,16,88,997,5.7,190,0.17
1997,1,3,10,139,0,139,18,14,77,997,7.7,200,0.17
1997,1,3,11,156,0,156,19,14,73,997,5.1,210,0.17
1997,1,3,12,157,0,157,20,15,73,996,7.7,210,0.17
1997,1,3,13,139,0,139,21,15,69,995,7.7,210,0.17
1997,1,3,14,105,0,105,21,15,69,995,7.2,190,0.17
1997,1,3,15,59,0,59,21,15,69,994,4.6,190,0.17
1997,1,3,16,36,109,27,20,15,73,994,3.6,180,0.17
1997,1,3,17,0,0,0,19,14,73,994,5.1,170,0.17
1997,1,3,18,0,0,0,19,14,73,993,5.1,150,0.17
1997,1,3,19,0,0,0,19,14,73,993,5.1,160,0.17
