Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,727930,Seattle Seattle-tacoma Intl A,WA,USA,47.467000,-122.317000,-8,122
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
1987,1,1,0,0,0,0,5,1.7,79,988,5.7,150,0
1987,1,1,1,0,0,0,5,2.8,86,986,5.7,180,0
1987,1,1,2,0,0,0,5,2.8,86,986,4.1,190,0
1987,1,1,3,0,0,0,5.6,3.3,86,986,5.2,170,0
1987,1,1,4,0,0,0,6.1,3.9,86,986,4.1,220,0
1987,1,1,5,0,0,0,7.8,4.4,80,986,6.2,190,0
1987,1,1,6,0,0,0,6.7,5.6,93,987,3.6,190,0
1987,1,1,7,0,0,0,6.7,5.6,93,987,5.7,190,0
1987,1,1,8,11,4,11,7.8,5,83,987,4.6,190,0
1987,1,1,9,58,8,56,7.8,5.6,86,989,3.1,220,0
1987,1,1,10,101,1,101,8.9,5,77,989,3.1,190,0
1987,1,1,11,62,10,58,9.4,5,74,989,4.1,190,0
1987,1,1,12,73,8,71,6.1,5.6,96,989,2.6,200,0
1987,1,1,13,106,6,104,6.7,4.4,86,988,6.2,180,0
1987,1,1,14,72,2,72,6.7,4.4,86,989,4.1,190,0
1987,1,1,15,35,0,35,6.1,4.4,89,989,4.6,190,0
1987,1,1,16,4,0,4,6.1,5,93,991,5.2,190,0
1987,1,1,17,0,0,0,6.1,5,93,992,3.1,190,0
1987,1,1,18,0,0,0,6.1,4.4,89,993,5.7,200,0
1987,1,1,19,0,0,0,6.1,4.4,89,994,5.7,190,0
1987,1,1,20,0,0,0,5.6,4.4,93,995,6.2,190,0
1987,1,1,21,0,0,0,6.1,4.4,89,996,7.7,200,0
1987,1,1,22,0,0,0,6.1,4.4,89,998,6.7,200,0
1987,1,1,23,0,0,0,6.1,4.4,89,999,7.7,190,0
1987,1,2,0,0,0,0,6.7,3.9,83,999,7.7,190,0
1987,1,2,1,0,0,0,6.1,4.4,89,1000,6.7,190,0
1987,1,2,2,0,0,0,6.1,4.4,89,1000,6.7,190,0
1987,1,2,3,0,0,0,6.7,4.4,86,1000,7.2,190,0
