Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,727937,Snohomish Co,WA,USA,47.900000,-122.283000,-8,189
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
2003,1,1,0,0,0,0,5,2,81,996,3.6,120,0.35
2003,1,1,1,0,0,0,6,1,70,997,5.7,120,0.35
2003,1,1,2,0,0,0,6,2,75,997,4.1,150,0.35
2003,1,1,3,0,0,0,6,3,81,996,6.2,140,0.35
2003,1,1,4,0,0,0,6,3,81,996,6.2,120,0.35
2003,1,1,5,0,0,0,6,3,81,995,6.2,130,0.35
2003,1,1,6,0,0,0,6,3,81,995,5.1,130,0.35
2003,1,1,7,0,0,0,6,3,81,994,5.7,130,0.35
2003,1,1,8,8,0,8,7,2,70,994,4.6,130,0.35
2003,1,1,9,21,0,21,6,4,87,994,5.1,140,0.35
2003,1,1,10,36,0,36,5,4,93,993,2.6,160,0.35
2003,1,1,11,46,0,46,5,4,93,993,5.7,150,0.35
2003,1,1,12,50,0,50,5,4,93,993,4.6,140,0.35
2003,1,1,13,57,0,57,5,5,100,992,3.6,140,0.35
2003,1,1,14,35,0,35,5,4,93,992,5.7,140,0.35
2003,1,1,15,22,0,22,5,4,93,992,4.6,120,0.35
2003,1,1,16,0,0,0,4,4,100,992,4.1,110,0.35
2003,1,1,17,0,0,0,4,3.9,99,991,4.6,110,0.35
2003,1,1,18,0,0,0,4,4,100,990,5.1,100,0.35
2003,1,1,19,0,0,0,4,4,100,990,5.1,100,0.35
2003,1,1,20,0,0,0,4,4,100,989,6.2,110,0.35
2003,1,1,21,0,0,0,4,4,100,989,3.1,120,0.35
2003,1,1,22,0,0,0,6,5,93,988,5.7,120,0.35
2003,1,1,23,0,0,0,7,6,93,988,3.6,150,0.35
2003,1,2,0,0,0,0,8,7,93,987,3.6,130,0.35
2003,1,2,1,0,0,0,7,7,100,986,4.6,110,0.35
2003,1,2,2,0,0,0,7,7,100,986,5.7,130,0.35
2003,1,2,3,0,0,0,7,7,100,985,6.7,130,0.35
2003,1,2,4,0,0,0,8,7,93,984,6.7,140,0.35
2003,1,2,5,0,0,0,8,7,93,985,5.7,140,0.35
2003,1,2,6,0,0,0,8,7,93,985,9.8,160,0.35
2003,1,2,7,0,0,0,9,7,87,986,14.4,170,0.35
2003,1,2,8,28,113,21,9,7,87,988,9.8,160,0.35
2003,1,2,9,21,0,21,10,8,87,989,8.7,160,0.35
2003,1,2,10,201,275,127,11,8,82,989,8.2,160,0.35
2003,1,2,11,287,480,134,12,8,76,989,8.2,180,0.35
2003,1,2,12,214,213,144,12,8,76,989,9.3,180,0.35
2003,1,2,13,141,44,128,13,7,67,989,5.7,150,0.35
2003,1,2,14,114,41,105,13,7,67,989,5.1,150,0.35
2003,1,2,15,107,140,91,13,7,67,987,3.6,110,0.35
2003,1,2,16,0,0,0,12,6,67,986,4.6,110,0.35
2003,1,2,17,0,0,0,11,8,82,986,5.7,130,0.35
2003,1,2,18,0,0,0,9,8,93,984,10.3,120,0.35
2003,1,2,19,0,0,0,9,8,93,983,6.7,120,0.35
2003,1,2,20,0,0,0,9,8,93,983,7.7,140,0.35
2003,1,2,21,0,0,0,10,9,93,984,7.7,140,0.35
2003,1,2,22,0,0,0,10,8,87,985,10.8,190,0.35
2003,1,2,23,0,0,0,10,8,87,987,8.2,200,0.35
2003,1,3,0,0,0,0,9,5,76,989,11.3,190,0.35
