Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,726415,Janesville Rock Co.,WI,USA,42.617000,-89.033000,-6,246
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
2002,1,1,0,0,0,0,-9.3,-14,66,984,2.1,280,0.17
2002,1,1,1,0,0,0,-9.5,-14,67,984,2.9,280,0.17
2002,1,1,2,0,0,0,-9.3,-13.7,67,984,3.3,280,0.17
2002,1,1,3,0,0,0,-9.9,-14.2,68,984,3.6,290,0.17
2002,1,1,4,0,0,0,-9.2,-13.3,69,984,3.5,280,0.17
2002,1,1,5,0,0,0,-9.9,-14,69,984,3.4,260,0.17
2002,1,1,6,0,0,0,-10,-14,70,984,4.3,270,0.17
2002,1,1,7,0,14,0,-11,-13,84,984,3.1,290,0.17
2002,1,1,8,84,71,73,-9,-13,70,984,3.1,310,0.17
2002,1,1,9,162,139,123,-8,-13,64,984,4.1,350,0.17
2002,1,1,10,296,447,134,-8,-14,58,984,3.1,340,0.17
2002,1,1,11,320,392,159,-7,-13,59,984,2.6,330,0.17
2002,1,1,12,355,490,155,-6,-13,54,984,3.1,310,0.17
2002,1,1,13,266,331,146,-6,-12.9,54,984,2.6,320,0.17
2002,1,1,14,153,110,123,-6,-12.3,57,984,2.1,320,0.17
2002,1,1,15,65,64,56,-6,-12,59,984,2.1,330,0.17
2002,1,1,16,0,0,0,-7,-12,64,984,2.1,350,0.17
2002,1,1,17,0,0,0,-9,-12,77,984,0,0,0.17
2002,1,1,18,0,0,0,-9,-12,77,984,0,0,0.17
2002,1,1,19,0,0,0,-11,-12,91,984,1.1,50,0.17
2002,1,1,20,0,0,0,-11,-12,91,984,0,0,0.17
2002,1,1,21,0,0,0,-12.5,-13.8,89,984,0,0,0.17
2002,1,1,22,0,0,0,-13,-14.3,89,984,0,0,0.17
2002,1,1,23,0,0,0,-13.3,-14.5,90,984,0,0,0.17
2002,1,2,0,0,0,0,-13.4,-14.1,94,984,0.2,20,0.17
2002,1,2,1,0,0,0,-14,-14.8,93,984,0.5,30,0.17
2002,1,2,2,0,0,0,-14.3,-15,94,984,0.8,40,0.17
2002,1,2,3,0,0,0,-13.8,-14.2,96,984,1.1,40,0.17
2002,1,2,4,0,0,0,-13.1,-13.1,100,984,1.4,50,0.17
2002,1,2,5,0,0,0,-14,-14,100,984,1.7,60,0.17
2002,1,2,6,0,0,0,-14,-14,100,984,3.6,50,0.17
2002,1,2,7,1,35,0,-11.8,-12,98,984,3.4,50,0.17
2002,1,2,8,93,178,66,-9,-10,92,984,3.3,50,0.17
2002,1,2,9,232,429,114,-8,-9,92,984,2.1,40,0.17
2002,1,2,10,309,526,118,-4,-7,77,984,2,40,0.17
2002,1,2,11,332,447,149,-2,-7,65,984,3.9,30,0.17
2002,1,2,12,349,556,121,-1.5,-7,63,984,4.3,20,0.17
2002,1,2,13,306,543,108,-1,-7,60,984,1.5,20,0.17
2002,1,2,14,227,537,79,-1,-8,55,984,2.1,10,0.17
2002,1,2,15,109,422,45,-1,-7,60,984,2.6,320,0.17
2002,1,2,16,0,0,0,-4,-8,71,984,2.1,310,0.17
2002,1,2,17,0,0,0,-5,-8,77,984,2.1,310,0.17
2002,1,2,18,0,0,0,-6,-8,84,984,3.3,330,0.17
2002,1,2,19,0,0,0,-8,-9,92,984,2.2,20,0.17
2002,1,2,20,0,0,0,-9,-9,100,984,1.3,30,0.17
2002,1,2,21,0,0,0,-10.5,-11.1,95,984,1.9,80,0.17
2002,1,2,22,0,0,0,-11,-11.8,93,984,3,110,0.17
2002,1,2,23,0,0,0,-11.3,-12.2,92,984,1,150,0.17
2002,1,3,0,0,0,0,-11.4,-12,95,984,2,160,0.17
2002,1,3,1,0,0,0,-12,-12.9,92,984,2.1,150,0.17
2002,1,3,2,0,0,0,-12.3,-13.3,91,984,1.2,180,0.17
2002,1,3,3,0,0,0,-11.8,-12.8,91,984,2.7,200,0.17
2002,1,3,4,0,0,0,-11.1,-11.5,96,984,4.4,200,0.17
2002,1,3,5,0,0,0,-12,-13,91,984,3.5,230,0.17
2002,1,3,6,0,0,0,-12,-13,91,984,2.9,250,0.17
2002,1,3,7,0,12,0,-12,-13,91,984,3.5,270,0.17
2002,1,3,8,74,64,65,-10.1,-11.1,91,984,4.1,280,0.17
2002,1,3,9,260,486,126,-8,-9,92,984,3.1,300,0.17
2002,1,3,10,329,612,106,-5.9,-8.8,78,984,4.1,300,0.17
2002,1,3,11,357,568,124,-4,-9,65,984,5.1,290,0.17
2002,1,3,12,343,484,144,-2.5,-8,62,984,5.6,290,0.17
2002,1,3,13,295,467,124,-1,-7,60,984,6.2,280,0.17
2002,1,3,14,217,445,93,-1,-7,60,984,3.6,240,0.17
2002,1,3,15,97,295,51,-2.1,-7.4,64,984,3.4,240,0.17
2002,1,3,16,1,0,1,-4,-8,71,984,3.1,230,0.17
2002,1,3,17,0,0,0,-4.9,-7.8,78,984,2.9,220,0.17
2002,1,3,18,0,0,0,-6,-8,84,984,2.8,210,0.17
2002,1,3,19,0,0,0,-7,-8,92,984,2.6,200,0.17
2002,1,3,20,0,0,0,-7,-8,92,984,3.1,200,0.17
2002,1,3,21,0,0,0,-8.1,-9.8,86,984,3.3,200,0.17
2002,1,3,22,0,0,0,-8.3,-10.1,85,984,3.4,200,0.17
2002,1,3,23,0,0,0,-8.3,-10.2,85,984,3.6,210,0.17
2002,1,4,0,0,0,0,-8,-9.7,86,984,3.8,210,0.17
2002,1,4,1,0,0,0,-8.4,-10.3,85,984,3.9,210,0.17
2002,1,4,2,0,0,0,-8.3,-10.3,84,984,4.1,210,0.17
2002,1,4,3,0,0,0,-7.5,-9.4,85,984,4.3,220,0.17
2002,1,4,4,0,0,0,-6.5,-7.8,89,984,4.4,220,0.17
2002,1,4,5,0,0,0,-7,-9,84,984,4.6,220,0.17
2002,1,4,6,0,0,0,-7,-9,84,984,4.6,220,0.17
2002,1,4,7,1,40,0,-7,-9,84,984,5.1,220,0.17
2002,1,4,8,102,206,71,-5,-9,71,984,6.7,220,0.17
2002,1,4,9,239,454,113,-3,-7,71,984,6.2,220,0.17
2002,1,4,10,290,422,136,-1,-6,66,984,6.7,230,0.17
2002,1,4,11,314,332,177,-1,-6,66,984,7.2,230,0.17
2002,1,4,12,225,90,188,2,-5,57,984,6.7,240,0.17
2002,1,4,13,216,136,166,3,-4,58,984,7.2,240,0.17
2002,1,4,14,196,324,105,3,-4,58,984,7.2,230,0.17
2002,1,4,15,93,279,49,3,-3,63,984,7.2,230,0.17
2002,1,4,16,1,0,1,2,-4,62,984,6.2,230,0.17
2002,1,4,17,0,0,0,1,-3,72,984,3.6,230,0.17
2002,1,4,18,0,0,0,-1,-3,85,984,3.6,220,0.17
2002,1,4,19,0,0,0,2,-2,73,984,4.1,210,0.17
2002,1,4,20,0,0,0,2,-2,73,984,3.1,220,0.17
2002,1,4,21,0,0,0,0.3,-3.8,71,984,3,220,0.17
2002,1,4,22,0,0,0,-0.4,-4.3,72,984,2.9,220,0.17
2002,1,4,23,0,0,0,-1,-4.5,75,984,2.8,220,0.17
2002,1,5,0,0,0,0,-1.3,-4.1,79,984,2.7,220,0.17
2002,1,5,1,0,0,0,-2.1,-4.8,80,984,2.5,220,0.17
2002,1,5,2,0,0,0,-2.6,-5,82,984,2.4,220,0.17
2002,1,5,3,0,0,0,-2.4,-4.2,86,984,2.3,220,0.17
2002,1,5,4,0,0,0,-1.9,-2.7,94,984,2.2,220,0.17
2002,1,5,5,0,0,0,-3,-4,92,984,2.1,220,0.17
2002,1,5,6,0,0,0,-4,-5,92,984,3.1,220,0.17
2002,1,5,7,0,0,0,-3,-3,100,984,3.1,240,0.17
2002,1,5,8,28,0,28,-1,-2,92,984,3.1,230,0.17
2002,1,5,9,56,0,56,0,-1,92,984,3.1,240,0.17
2002,1,5,10,64,0,64,2,0,87,984,4.1,230,0.17
2002,1,5,11,148,0,148,2,-1,80,984,4.1,200,0.17
2002,1,5,12,219,84,184,3,-1,74,984,2.6,220,0.17
2002,1,5,13,119,0,119,4,0,75,984,4.1,230,0.17
2002,1,5,14,48,0,48,3,-1,74,984,4.1,220,0.17
2002,1,5,15,22,0,22,3,-1,74,984,4.1,230,0.17
2002,1,5,16,1,0,1,3,-1,74,984,4.6,230,0.17
2002,1,5,17,0,0,0,2,-1,80,984,3.6,230,0.17
2002,1,5,18,0,0,0,0.9,-1,86,984,3.4,280,0.17
2002,1,5,19,0,0,0,0,-1,92,984,3.1,330,0.17
2002,1,5,20,0,0,0,0,-1,92,984,3,330,0.17
2002,1,5,21,0,0,0,-0.4,-1.8,89,984,2.9,330,0.17
2002,1,5,22,0,0,0,0.2,-1.3,88,984,2.8,320,0.17
2002,1,5,23,0,0,0,1,-0.4,90,984,2.7,320,0.17
2002,1,6,0,0,0,0,2,1,93,984,2.6,320,0.17
2002,1,6,1,0,0,0,0.3,-0.7,92,984,2.4,310,0.17
2002,1,6,2,0,0,0,-1,-1.9,93,984,2.2,310,0.17
2002,1,6,3,0,0,0,-1.6,-2.2,95,984,1.9,300,0.17
