Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,726465,Mosinee Central Wi,WI,USA,44.783000,-89.667000,-6,389
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
1996,1,1,0,0,0,0,-2.8,-3.4,95,967,4.6,70,0.16
1996,1,1,1,0,0,0,-2.8,-3.9,91,967,4.1,70,0.16
1996,1,1,2,0,0,0,-2.8,-3.9,91,967,3.6,70,0.16
1996,1,1,3,0,0,0,-3.4,-3.9,96,967,3,80,0.16
1996,1,1,4,0,0,0,-3.4,-3.9,96,967,4.1,70,0.16
1996,1,1,5,0,0,0,-3,-3.6,95,967,3.3,70,0.16
1996,1,1,6,0,0,0,-3.4,-4.5,91,967,2.5,60,0.16
1996,1,1,7,1,0,1,-3.8,-4.6,93,967,3,60,0.16
1996,1,1,8,23,0,23,-3.5,-4.7,90,967,3.6,70,0.16
1996,1,1,9,54,0,54,-2.8,-4.5,87,967,4.1,70,0.16
1996,1,1,10,78,0,78,-2.8,-5,83,967,5.1,70,0.16
1996,1,1,11,91,0,91,-2.8,-5,83,967,4.1,80,0.16
1996,1,1,12,109,0,109,-2.8,-5,83,967,3.6,70,0.16
1996,1,1,13,94,0,94,-3,-5.2,83,967,4.1,60,0.16
1996,1,1,14,67,0,67,-3.4,-5.6,83,967,4.6,50,0.16
1996,1,1,15,30,0,30,-3.4,-5.7,82,967,4.1,60,0.16
1996,1,1,16,2,0,2,-3.9,-6.2,82,967,3.6,60,0.16
1996,1,1,17,0,0,0,-4.5,-6.7,83,967,3.6,70,0.16
1996,1,1,18,0,0,0,-5,-7.8,79,967,5.6,90,0.16
1996,1,1,19,0,0,0,-5,-8.4,74,967,4.6,80,0.16
1996,1,1,20,0,0,0,-5,-7.8,79,967,3,60,0.16
1996,1,1,21,0,0,0,-5.6,-9.5,71,967,4.6,50,0.16
1996,1,1,22,0,0,0,-6.7,-10,75,967,5.6,40,0.16
1996,1,1,23,0,0,0,-9.5,-12.8,74,967,5.6,50,0.16
1996,1,2,0,0,0,0,-10.6,-13.4,78,967,5.1,70,0.16
1996,1,2,1,0,0,0,-10.6,-12.8,82,967,4.6,50,0.16
1996,1,2,2,0,0,0,-11.7,-14.5,78,967,3,40,0.16
1996,1,2,3,0,0,0,-12.3,-15,78,967,2.5,30,0.16
1996,1,2,4,0,0,0,-13.4,-16.2,77,967,3,20,0.16
1996,1,2,5,0,0,0,-13.4,-16.2,77,967,4.1,10,0.16
1996,1,2,6,0,0,0,-13.9,-16.7,77,967,4.1,30,0.16
1996,1,2,7,2,9,2,-14.5,-16.2,85,967,4.6,20,0.16
1996,1,2,8,44,44,39,-12.8,-16.2,73,967,4.1,10,0.16
1996,1,2,9,107,165,67,-11.7,-15,74,967,4.1,20,0.16
1996,1,2,10,243,432,103,-10.6,-15,67,967,5.1,30,0.16
1996,1,2,11,260,451,92,-10,-15,64,967,6.1,60,0.16
1996,1,2,12,336,592,115,-8.9,-15,58,967,4.6,40,0.16
1996,1,2,13,276,504,109,-8.9,-15,58,967,4.6,20,0.16
1996,1,2,14,191,489,69,-8.9,-15,58,967,4.1,40,0.16
1996,1,2,15,81,281,45,-9.5,-16.2,54,967,4.1,360,0.16
1996,1,2,16,5,32,4,-11.7,-17.8,57,967,3.6,10,0.16
1996,1,2,17,0,0,0,-12.8,-18.4,59,967,2,10,0.16
1996,1,2,18,0,0,0,-13.9,-18.4,66,967,3,10,0.16
1996,1,2,19,0,0,0,-14.5,-18.4,69,967,2,10,0.16
1996,1,2,20,0,0,0,-15,-19.5,66,967,3,10,0.16
1996,1,2,21,0,0,0,-15.6,-18.9,73,967,4.1,30,0.16
1996,1,2,22,0,0,0,-16.2,-19.5,73,967,2.5,20,0.16
1996,1,2,23,0,0,0,-17.3,-19.5,81,967,1.5,10,0.16
1996,1,3,0,0,0,0,-17.8,-19.5,85,967,2,20,0.16
1996,1,3,1,0,0,0,-17.8,-20,81,967,3,360,0.16
1996,1,3,2,0,0,0,-18.9,-21.2,80,967,3.6,360,0.16
1996,1,3,3,0,0,0,-19.5,-22.3,76,967,3.6,360,0.16
1996,1,3,4,0,0,0,-20,-22.3,80,967,3.6,10,0.16
1996,1,3,5,0,0,0,-20,-22.8,76,967,3,360,0.16
1996,1,3,6,0,0,0,-20.6,-21.2,94,967,2,10,0.16
1996,1,3,7,3,69,2,-20.6,-22.3,85,967,3.6,10,0.16
1996,1,3,8,76,346,35,-18.9,-20.7,84,967,4.1,10,0.16
1996,1,3,9,198,565,62,-17.3,-18.9,86,967,1.5,30,0.16
1996,1,3,10,247,526,75,-13.9,-16.7,77,967,1.5,40,0.16
1996,1,3,11,306,535,107,-11.6,-16.5,64,967,0.8,20,0.16
1996,1,3,12,325,661,77,-9.5,-16.7,52,967,0,0,0.16
1996,1,3,13,238,399,105,-7.8,-15,52,967,0,0,0.16
1996,1,3,14,208,571,64,-7.8,-15,52,967,0,0,0.16
1996,1,3,15,32,0,32,-10,-15.6,60,967,0,0,0.16
1996,1,3,16,2,0,2,-12.3,-16.2,70,967,2,320,0.16
1996,1,3,17,0,0,0,-13.4,-15.6,82,967,0,0,0.16
1996,1,3,18,0,0,0,-13.4,-16.2,77,967,0,0,0.16
1996,1,3,19,0,0,0,-12.8,-15,82,967,0,0,0.16
1996,1,3,20,0,0,0,-13.1,-15.8,78,967,0,0,0.16
1996,1,3,21,0,0,0,-13.4,-16.7,74,967,0,0,0.16
1996,1,3,22,0,0,0,-12.8,-15.6,77,967,0,0,0.16
1996,1,3,23,0,0,0,-13.9,-16.2,81,967,0,0,0.16
1996,1,4,0,0,0,0,-15.6,-17.3,85,967,0,0,0.16
1996,1,4,1,0,0,0,-16.7,-18.4,85,967,2,20,0.16
1996,1,4,2,0,0,0,-15.6,-16.7,90,967,1.5,30,0.16
1996,1,4,3,0,0,0,-17.3,-18.4,90,967,2,350,0.16
1996,1,4,4,0,0,0,-17.3,-21.7,66,967,2,360,0.16
1996,1,4,5,0,0,0,-17.7,-21.1,72,967,3,360,0.16
1996,1,4,6,0,0,0,-18.9,-21.7,76,967,4.1,360,0.16
1996,1,4,7,1,4,1,-19.5,-22.3,76,967,1.5,350,0.16
1996,1,4,8,63,211,38,-17.3,-20.6,73,967,3,20,0.16
1996,1,4,9,145,269,81,-16.2,-17.8,86,967,3.6,360,0.16
1996,1,4,10,254,301,155,-13.4,-15.6,82,967,4.1,10,0.16
1996,1,4,11,281,439,117,-11.7,-15.6,70,967,2.5,360,0.16
1996,1,4,12,282,144,228,-10.1,-15.4,62,967,3.1,360,0.16
1996,1,4,13,269,416,129,-8.9,-15,58,967,3.6,360,0.16
1996,1,4,14,177,349,88,-8.9,-15.6,55,967,2,10,0.16
1996,1,4,15,73,185,47,-10.6,-16.7,57,967,4.1,360,0.16
1996,1,4,16,4,11,3,-12.3,-18.4,57,967,2.5,350,0.16
1996,1,4,17,0,0,0,-13.4,-18.9,60,967,3.6,360,0.16
1996,1,4,18,0,0,0,-14.5,-19.5,63,967,3.6,360,0.16
1996,1,4,19,0,0,0,-15.6,-20,66,967,4.6,360,0.16
1996,1,4,20,0,0,0,-18.4,-23.4,62,967,2,330,0.16
1996,1,4,21,0,0,0,-17.3,-21.2,69,967,2.5,360,0.16
1996,1,4,22,0,0,0,-20,-25,61,967,2.5,320,0.16
1996,1,4,23,0,0,0,-19.5,-23.9,65,967,3.6,350,0.16
1996,1,5,0,0,0,0,-20,-21.7,85,967,3,320,0.16
1996,1,5,1,0,0,0,-21.7,-25,72,967,2.5,320,0.16
1996,1,5,2,0,0,0,-21.2,-22.8,86,967,3,310,0.16
1996,1,5,3,0,0,0,-21.7,-23.4,85,967,3.6,320,0.16
1996,1,5,4,0,0,0,-22.8,-25,80,967,1.5,250,0.16
1996,1,5,5,0,0,0,-22.8,-26.7,68,967,2.5,340,0.16
1996,1,5,6,0,0,0,-22.8,-26.7,68,967,3,320,0.16
1996,1,5,7,2,27,1,-22.3,-24.5,80,967,3,330,0.16
1996,1,5,8,63,218,37,-20.6,-22.8,81,967,2.5,310,0.16
1996,1,5,9,177,384,84,-18.1,-21.3,74,967,1.3,340,0.16
1996,1,5,10,260,374,136,-15.6,-20,66,967,0,0,0.16
1996,1,5,11,363,703,99,-14.5,-19.5,63,967,0,0,0.16
1996,1,5,12,333,708,64,-11.7,-18.4,54,967,1.5,320,0.16
1996,1,5,13,286,598,84,-11.7,-19.5,49,967,2,290,0.16
1996,1,5,14,187,444,74,-12.3,-18.9,54,967,2.5,310,0.16
1996,1,5,15,78,236,45,-14.5,-20,60,967,3,320,0.16
1996,1,5,16,4,23,4,-13.4,-20.6,51,967,3.6,290,0.16
1996,1,5,17,0,0,0,-17.8,-21.7,69,967,2.5,300,0.16
1996,1,5,18,0,0,0,-19.5,-22.8,73,967,2.5,340,0.16
1996,1,5,19,0,0,0,-19.5,-22.8,73,967,2.5,340,0.16
1996,1,5,20,0,0,0,-20.6,-23.9,72,967,2,320,0.16
1996,1,5,21,0,0,0,-21.7,-25.6,68,967,3,330,0.16
1996,1,5,22,0,0,0,-21.2,-24.5,72,967,3,340,0.16
1996,1,5,23,0,0,0,-21.7,-22.8,90,967,1.5,320,0.16
1996,1,6,0,0,0,0,-22.3,-24.5,80,967,1.5,330,0.16
1996,1,6,1,0,0,0,-22.8,-26.7,68,967,0,0,0.16
1996,1,6,2,0,0,0,-21.2,-22.8,86,967,3.6,10,0.16
1996,1,6,3,0,0,0,-21.2,-22.8,86,967,4.6,20,0.16
1996,1,6,4,0,0,0,-21.2,-23.4,81,967,4.6,20,0.16
1996,1,6,5,0,0,0,-21.2,-24.5,72,967,3,360,0.16
1996,1,6,6,0,0,0,-21.2,-24.5,72,967,4.1,10,0.16
1996,1,6,7,2,39,1,-21.2,-23.4,81,967,3.6,10,0.16
1996,1,6,8,77,389,30,-20,-22.8,76,967,5.1,10,0.16
1996,1,6,9,201,639,46,-17.8,-21,74,967,3.8,10,0.16
1996,1,6,10,304,749,57,-15.6,-19.5,69,967,2.5,10,0.16
1996,1,6,11,362,794,62,-14.5,-18.9,66,967,2.5,360,0.16
1996,1,6,12,363,782,65,-11.7,-17.8,57,967,1.5,360,0.16
1996,1,6,13,316,760,58,-10.6,-17.8,52,967,2.5,360,0.16
1996,1,6,14,205,245,142,-10.6,-17.8,52,967,2.5,10,0.16
1996,1,6,15,79,188,53,-11.7,-17.8,57,967,2,360,0.16
1996,1,6,16,6,40,5,-13.9,-19.5,59,967,3,360,0.16
1996,1,6,17,0,0,0,-15,-20,62,967,2,350,0.16
1996,1,6,18,0,0,0,-16.2,-21.2,62,967,2.5,340,0.16
1996,1,6,19,0,0,0,-16.7,-21.2,65,967,2,360,0.16
1996,1,6,20,0,0,0,-17.8,-21.7,69,967,2,10,0.16
1996,1,6,21,0,0,0,-17.3,-21.2,69,967,2.5,10,0.16
1996,1,6,22,0,0,0,-18.4,-21.7,73,967,3,10,0.16
1996,1,6,23,0,0,0,-18.9,-21.7,76,967,2,10,0.16
1996,1,7,0,0,0,0,-19.5,-21.7,81,967,4.1,360,0.16
1996,1,7,1,0,0,0,-21.2,-23.4,81,967,2.5,350,0.16
1996,1,7,2,0,0,0,-21.7,-23.9,81,967,3,330,0.16
1996,1,7,3,0,0,0,-22.3,-23.9,85,967,4.6,350,0.16
1996,1,7,4,0,0,0,-22.3,-26.2,68,967,4.1,340,0.16
1996,1,7,5,0,0,0,-22.8,-23.4,94,967,3.6,350,0.16
1996,1,7,6,0,0,0,-22.8,-26.2,71,967,3.6,350,0.16
1996,1,7,7,2,17,2,-22.8,-25.6,76,967,3,360,0.16
1996,1,7,8,70,252,39,-21.7,-25,72,967,3.6,350,0.16
1996,1,7,9,190,462,77,-20,-23.9,68,967,1.5,20,0.16
1996,1,7,10,278,624,71,-16.8,-20.8,68,967,1.5,360,0.16
1996,1,7,11,357,754,71,-13.9,-17.8,70,967,1.5,330,0.16
