Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Version
NSRDB,757516,-,-,-,41.57,-93.62,-6,263,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,v2.0.1
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Pressure,Temperature,Wind Direction,Wind Speed
2004,1,1,0,0,-10.9432373046875,0,0,0,987,-2.1923278808593523,134,4
2004,1,1,1,0,-11.00335693359375,0,0,0,987,-2.2541870117187273,135,4
2004,1,1,2,0,-11.05242919921875,0,0,0,987,-2.3046020507812273,138,4
2004,1,1,3,0,-11.02581787109375,0,0,0,985,-2.2766479492187273,144,4
2004,1,1,4,0,-10.86907958984375,0,0,0,984,-2.1145690917968523,150,4
2004,1,1,5,0,-10.599212646484375,0,0,0,983,-1.8361267089843523,154,4
2004,1,1,6,0,-10.214202880859375,0,0,0,983,-1.4392761230468523,158,4
2004,1,1,7,0,-9.66021728515625,0,0,0,982,-0.8690856933593523,164,4
2004,1,1,8,0,-8.465911865234375,6,0,6,981,0.35778198242189774,171,4
2004,1,1,9,0,-6.684722900390625,11,0,11,981,2.1830078125000227,181,4
2004,1,1,10,0,-5.24383544921875,29,0,29,980,3.6562438964843977,193,4
2004,1,1,11,0,-4.7020263671875,172,149,230,979,4.209985351562523,204,5
2004,1,1,12,0,-4.139678955078125,180,62,207,977,4.784295654296898,215,5
2004,1,1,13,0,-3.647186279296875,169,304,296,976,5.286828613281273,226,5
2004,1,1,14,0,-2.542083740234375,74,786,359,976,6.413293457031273,236,5
2004,1,1,15,0,-2.4659423828125,61,705,247,977,6.490777587890648,243,4
2004,1,1,16,0,-4.89923095703125,31,589,108,977,4.009057617187523,249,4
2004,1,1,17,0,-6.2626953125,0,0,0,978,2.6156250000000227,256,4
2004,1,1,18,0,-6.91424560546875,0,0,0,979,1.9487548828125227,260,4
2004,1,1,19,0,-7.426177978515625,0,0,0,979,1.4244018554687727,261,4
2004,1,1,20,0,-7.80572509765625,0,0,0,980,1.0353637695312727,263,3
2004,1,1,21,0,-8.003631591796875,0,0,0,980,0.8325134277343977,262,3
2004,1,1,22,0,-8.023529052734375,0,0,0,979,0.8122802734375227,261,3
2004,1,1,23,0,-7.698760986328125,0,0,0,979,1.1452575683593977,260,2
2004,1,2,0,0,-7.159515380859375,0,0,0,978,1.6977478027343977,249,2
2004,1,2,1,0,-6.940887451171875,0,0,0,978,1.9217163085937727,230,1
2004,1,2,2,0,-7.31005859375,0,0,0,978,1.5438171386718977,213,1
2004,1,2,3,0,-7.709716796875,0,0,0,977,1.1345764160156477,190,2
2004,1,2,4,0,-7.887451171875,0,0,0,976,0.9528137207031477,170,2
2004,1,2,5,0,-7.97161865234375,0,0,0,975,0.8667541503906477,160,3
2004,1,2,6,0,-8.06976318359375,0,0,0,974,0.7665649414062727,154,4
2004,1,2,7,0,-8.1231689453125,0,0,0,973,0.7121826171875227,152,4
2004,1,2,8,0,-7.0277099609375,6,0,6,972,1.8345886230468977,155,4
2004,1,2,9,0,-5.5567626953125,54,0,54,972,3.3390136718750227,165,4
2004,1,2,10,0,-3.67572021484375,62,0,62,971,5.259179687500023,180,5
2004,1,2,11,0,-1.268218994140625,171,109,214,969,7.712182617187523,196,5
2004,1,2,12,0,0.381988525390625,189,126,243,967,9.391198730468773,212,5
2004,1,2,13,0,0.557586669921875,172,287,293,967,9.569848632812523,228,5
2004,1,2,14,0,0.027984619140625,111,497,293,967,9.031213378906273,243,5
2004,1,2,15,0,-1.4410400390625,108,90,132,968,7.536492919921898,256,4
2004,1,2,16,0,-3.867095947265625,51,104,65,969,5.064538574218773,268,4
2004,1,2,17,0,-5.143646240234375,0,0,0,970,3.7615295410156477,280,4
2004,1,2,18,0,-5.2491455078125,0,0,0,971,3.6534667968750227,289,4
2004,1,2,19,0,-5.27972412109375,0,0,0,973,3.6217590332031477,298,5
2004,1,2,20,0,-5.880401611328125,0,0,0,974,3.0075622558593977,309,5
2004,1,2,21,0,-6.925323486328125,0,0,0,976,1.9383483886718977,319,5
2004,1,2,22,0,-8.2666015625,0,0,0,977,0.5639282226562727,326,5
2004,1,2,23,0,-9.628326416015625,0,0,0,977,-0.8345092773437273,330,5
2004,1,3,0,0,-10.507598876953125,0,0,0,978,-1.7394470214843523,335,4
2004,1,3,1,0,-10.9739990234375,0,0,0,979,-2.2204650878906023,338,4
2004,1,3,2,0,-11.352874755859375,0,0,0,980,-2.6115783691406023,341,5
2004,1,3,3,0,-11.78790283203125,0,0,0,980,-3.0606750488281023,344,4
2004,1,3,4,0,-12.08599853515625,0,0,0,981,-3.3689025878906023,347,4
2004,1,3,5,0,-12.264404296875,0,0,0,981,-3.5536865234374773,348,4
2004,1,3,6,0,-12.49932861328125,0,0,0,982,-3.7971252441406023,350,4
2004,1,3,7,0,-12.916839599609375,0,0,0,983,-4.229864501953102,354,4
2004,1,3,8,0,-12.983673095703125,1,0,1,984,-4.299536132812477,358,4
2004,1,3,9,0,-12.706024169921875,48,0,48,985,-4.012274169921852,1,4
2004,1,3,10,0,-12.217071533203125,57,0,57,985,-3.5065368652343523,2,4
2004,1,3,11,0,-12.147796630859375,26,0,26,985,-3.4346679687499773,3,4
2004,1,3,12,0,-12.259613037109375,111,0,111,984,-3.5499023437499773,3,4
2004,1,3,13,0,-12.370849609375,40,0,40,984,-3.6650451660156023,4,4
2004,1,3,14,0,-12.64080810546875,39,0,39,984,-3.9443420410156023,7,4
2004,1,3,15,0,-12.859039306640625,18,0,18,984,-4.170446777343727,11,4
2004,1,3,16,0,-13.213165283203125,39,0,39,985,-4.537725830078102,15,4
2004,1,3,17,0,-13.406341552734375,0,0,0,985,-4.738409423828102,18,4
2004,1,3,18,0,-13.54425048828125,0,0,0,986,-4.881811523437477,21,4
