Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,572255,b'Oregon',44.6881,-124.136,0,-8,4500.5303,-,s,deg,s,deg,s,W/m,s,m,-,47,v1.0.0
Year,Month,Day,Hour,Minute,Significant Wave Height,Energy Period
2010,1,1,0,0,3.6823699474334717,8.385100364685059
2010,1,1,3,0,3.48088002204895,8.791000366210938
2010,1,1,6,0,3.2455999851226807,9.121600151062012
2010,1,1,9,0,3.2253499031066895,8.918499946594238
2010,1,1,12,0,3.3452401161193848,8.804800033569336
2010,1,1,15,0,3.60794997215271,8.530699729919434
2010,1,1,18,0,4.686220169067383,9.51509952545166
2010,1,1,21,0,5.530360221862793,11.272600173950195
2010,1,2,0,0,5.590670108795166,11.88640022277832
2010,1,2,3,0,5.267290115356445,12.09220027923584
2010,1,2,6,0,4.847640037536621,12.17039966583252
2010,1,2,9,0,4.4252800941467285,12.143600463867188
2010,1,2,12,0,4.11929988861084,11.851200103759766
2010,1,2,15,0,3.8173398971557617,11.693900108337402
2010,1,2,18,0,3.532599925994873,11.510100364685059
2010,1,2,21,0,3.252500057220459,11.32229995727539
2010,1,3,0,0,3.002379894256592,11.108200073242188
2010,1,3,3,0,2.78617000579834,10.867300033569336
2010,1,3,6,0,2.5686099529266357,10.587699890136719
2010,1,3,9,0,2.351989984512329,10.280099868774414
2010,1,3,12,0,2.16579008102417,10.047699928283691
2010,1,3,15,0,1.9942899942398071,9.899299621582031
2010,1,3,18,0,1.8147300481796265,9.751899719238281
2010,1,3,21,0,1.6649800539016724,9.588800430297852
2010,1,4,0,0,1.591770052909851,9.486800193786621
2010,1,4,3,0,1.534809947013855,9.592499732971191
2010,1,4,6,0,1.4889899492263794,9.78380012512207
2010,1,4,9,0,1.4937599897384644,9.780099868774414
2010,1,4,12,0,1.7163399457931519,8.753899574279785
2010,1,4,15,0,2.1712300777435303,8.427000045776367
2010,1,4,18,0,2.9179799556732178,8.654800415039062
2010,1,4,21,0,3.5738699436187744,9.058699607849121
2010,1,5,0,0,3.677680015563965,9.092499732971191
2010,1,5,3,0,3.1673901081085205,9.25629997253418
2010,1,5,6,0,2.89165997505188,9
2010,1,5,9,0,2.6167900562286377,8.996899604797363
2010,1,5,12,0,2.436959981918335,8.693499565124512
2010,1,5,15,0,2.3321499824523926,8.271400451660156
2010,1,5,18,0,2.1694400310516357,8.193699836730957
2010,1,5,21,0,1.9577200412750244,8.433799743652344
2010,1,6,0,0,1.8114099502563477,8.547200202941895
2010,1,6,3,0,1.7516800165176392,8.502900123596191
2010,1,6,6,0,1.857319951057434,8.061200141906738
2010,1,6,9,0,1.9396799802780151,8.122200012207031
2010,1,6,12,0,1.875849962234497,8.425299644470215
2010,1,6,15,0,1.8244800567626953,8.923199653625488
2010,1,6,18,0,1.8525099754333496,9.480799674987793
2010,1,6,21,0,1.9539799690246582,9.964599609375
2010,1,7,0,0,2.0318100452423096,10.267800331115723
2010,1,7,3,0,2.05676007270813,10.483799934387207
2010,1,7,6,0,2.050379991531372,10.722200393676758
2010,1,7,9,0,2.0473101139068604,11.106200218200684
2010,1,7,12,0,2.0914900302886963,11.772500038146973
2010,1,7,15,0,2.2084100246429443,12.704299926757812
2010,1,7,18,0,2.376389980316162,13.539999961853027
2010,1,7,21,0,2.574350118637085,13.876899719238281
2010,1,8,0,0,2.813699960708618,13.528200149536133
2010,1,8,3,0,3.0628299713134766,13.043399810791016
2010,1,8,6,0,3.3512299060821533,12.77340030670166
2010,1,8,9,0,3.4198100566864014,12.77280044555664
2010,1,8,12,0,3.377379894256592,12.643500328063965
2010,1,8,15,0,3.2575900554656982,12.509200096130371
2010,1,8,18,0,3.143120050430298,12.33530044555664
2010,1,8,21,0,3.056529998779297,12.077199935913086
2010,1,9,0,0,3.13385009765625,11.29419994354248
2010,1,9,3,0,3.4571499824523926,10.784600257873535
2010,1,9,6,0,3.5940699577331543,10.60890007019043
2010,1,9,9,0,3.4139599800109863,10.926199913024902
2010,1,9,12,0,3.3424899578094482,10.883600234985352
2010,1,9,15,0,3.2671000957489014,11.56820011138916
2010,1,9,18,0,3.29653000831604,12.546199798583984
2010,1,9,21,0,3.4459800720214844,13.42650032043457
2010,1,10,0,0,3.6212799549102783,13.887700080871582
2010,1,10,3,0,3.704740047454834,14.007699966430664
2010,1,10,6,0,3.6729300022125244,13.90429973602295
2010,1,10,9,0,3.552419900894165,13.669400215148926
2010,1,10,12,0,3.372879981994629,13.350299835205078
2010,1,10,15,0,3.1529901027679443,12.953100204467773
